INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	TIME_DETAIL	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	15	Northern Africa				Northern Africa and Western Asia	2003		F	Female	Y15T19	15 to 19 years old	91.5	PT	Percent	E	Estimated	G	Global	Based on 2 countries covering 65 per cent of the regional population of adolescent girls aged 15 to 19 years		2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	15	Northern Africa				Northern Africa and Western Asia	2008		F	Female	Y15T19	15 to 19 years old	88.8	PT	Percent	E	Estimated	G	Global	Based on 2 countries covering 65 per cent of the regional population of adolescent girls aged 15 to 19 years		2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	15	Northern Africa				Northern Africa and Western Asia	2013		F	Female	Y15T19	15 to 19 years old	83.0	PT	Percent	E	Estimated	G	Global	Based on 2 countries covering 65 per cent of the regional population of adolescent girls aged 15 to 19 years		2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	15	Northern Africa				Northern Africa and Western Asia	2018		F	Female	Y15T19	15 to 19 years old	73.9	PT	Percent	E	Estimated	G	Global	Based on 2 countries covering 65 per cent of the regional population of adolescent girls aged 15 to 19 years		2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	True
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	202	Sub-Saharan Africa				Sub-Saharan Africa	2003		F	Female	Y15T19	15 to 19 years old	34.8	PT	Percent	E	Estimated	G	Global	Based on 25 countries covering 68 per cent of the regional population of adolescent girls aged 15 to 19 years		2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	202	Sub-Saharan Africa				Sub-Saharan Africa	2008		F	Female	Y15T19	15 to 19 years old	31.8	PT	Percent	E	Estimated	G	Global	Based on 25 countries covering 68 per cent of the regional population of adolescent girls aged 15 to 19 years		2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	202	Sub-Saharan Africa				Sub-Saharan Africa	2013		F	Female	Y15T19	15 to 19 years old	29.3	PT	Percent	E	Estimated	G	Global	Based on 25 countries covering 68 per cent of the regional population of adolescent girls aged 15 to 19 years		2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	202	Sub-Saharan Africa				Sub-Saharan Africa	2018		F	Female	Y15T19	15 to 19 years old	24.5	PT	Percent	E	Estimated	G	Global	Based on 25 countries covering 68 per cent of the regional population of adolescent girls aged 15 to 19 years		2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	True
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	120	Cameroon	CMR	12.7419827	5.692387031	Sub-Saharan Africa	2004		F	Female	Y15T49	15 to 49 years old	1.4	PT	Percent	C	Country Data	G	Global			2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T49	Female, 15 to 49 years old	True
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	262	Djibouti	DJI	42.18274707	11.56004161	Sub-Saharan Africa	2006		F	Female	Y15T49	15 to 49 years old	93.1	PT	Percent	C	Country Data	G	Global			2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T49	Female, 15 to 49 years old	True
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	706	Somalia	SOM	46.20367477	4.406485729	Sub-Saharan Africa	2006		F	Female	Y15T49	15 to 49 years old	97.9	PT	Percent	C	Country Data	G	Global			2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T49	Female, 15 to 49 years old	True
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	140	Central African Republic	CAF	20.93559492	7.003720791	Sub-Saharan Africa	2010		F	Female	Y15T49	15 to 49 years old	24.2	PT	Percent	C	Country Data	G	Global			2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T49	Female, 15 to 49 years old	True
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	232	Eritrea	ERI	38.11074289	16.12894644	Sub-Saharan Africa	2010		F	Female	Y15T49	15 to 49 years old	83.0	PT	Percent	C	Country Data	G	Global			2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T49	Female, 15 to 49 years old	True
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	854	Burkina Faso	BFA	-1.742843829	12.27491081	Sub-Saharan Africa	2010		F	Female	Y15T49	15 to 49 years old	75.8	PT	Percent	C	Country Data	G	Global			2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T49	Female, 15 to 49 years old	True
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	288	Ghana	GHA	-1.205623522	7.964825185	Sub-Saharan Africa	2011		F	Female	Y15T49	15 to 49 years old	3.8	PT	Percent	C	Country Data	G	Global			2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T49	Female, 15 to 49 years old	True
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	562	Niger	NER	9.400167877	17.42143036	Sub-Saharan Africa	2012		F	Female	Y15T49	15 to 49 years old	2.0	PT	Percent	C	Country Data	G	Global			2019	8400	SH_STA_FGMS			SEX__AGE	F__Y15T49	Female, 15 to 49 years old	True
