INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
II.9	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	410	Republic of Korea	KOR	127.8610254	36.45201023	Eastern and South-Eastern Asia	2008	F	Female	100.0	PT	Percent	C	Country Data	G	Global	2021	4900			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M	SEX	F	Female	True
II.9	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	674	San Marino	SMR	12.46329038	43.93841766	Europe and Northern America	2018	_T	Both sexes or no breakdown by sex	100.0	PT	Percent	C	Country Data	G	Global	2021	4900			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M	SEX	_T	Both sexes or no breakdown by sex	True
II.9	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	674	San Marino	SMR	12.46329038	43.93841766	Europe and Northern America	2018	F	Female	100.0	PT	Percent	C	Country Data	G	Global	2021	4900			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M	SEX	F	Female	True
II.9	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	674	San Marino	SMR	12.46329038	43.93841766	Europe and Northern America	2018	M	Male	100.0	PT	Percent	C	Country Data	G	Global	2021	4900			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M	SEX	M	Male	True
II.9	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	860	Uzbekistan	UZB	63.11944558	41.77560518	Central and Southern Asia	2014	M	Male	99.99997	PT	Percent	C	Country Data	G	Global	2021	4900			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M	SEX	M	Male	False
II.9	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	860	Uzbekistan	UZB	63.11944558	41.77560518	Central and Southern Asia	2015	M	Male	99.99996	PT	Percent	C	Country Data	G	Global	2021	4900			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M	SEX	M	Male	False
II.9	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	860	Uzbekistan	UZB	63.11944558	41.77560518	Central and Southern Asia	2013	M	Male	99.99993	PT	Percent	C	Country Data	G	Global	2021	4900			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M	SEX	M	Male	False
II.9	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	860	Uzbekistan	UZB	63.11944558	41.77560518	Central and Southern Asia	2016	M	Male	99.99993	PT	Percent	C	Country Data	G	Global	2021	4900			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M	SEX	M	Male	False
II.9	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	860	Uzbekistan	UZB	63.11944558	41.77560518	Central and Southern Asia	2018	M	Male	99.99993	PT	Percent	C	Country Data	G	Global	2021	4900			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M	SEX	M	Male	True
II.9	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	860	Uzbekistan	UZB	63.11944558	41.77560518	Central and Southern Asia	2000	M	Male	99.85337	PT	Percent	C	Country Data	G	Global	2021	4900			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M	SEX	M	Male	False
