INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2000	F	Female	Y15T19	15 to 19 years old	193.8	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Afghanistan 2000 Multiple Indicator Cluster Survey	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2003	F	Female	Y15T19	15 to 19 years old	151.8	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Afghanistan 2003 Multiple Indicator Cluster Survey	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2005	F	Female	Y15T19	15 to 19 years old	117.4	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Afghanistan 2006 Health Survey	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2006	F	Female	Y15T19	15 to 19 years old	126.2	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Afghanistan 2006 Health Survey	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2007	F	Female	Y15T19	15 to 19 years old	103.0	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Afghanistan 2007-2008 National Risk and Vulnerability Assessment	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2008	F	Female	Y15T19	15 to 19 years old	90.0	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Afghanistan 2010 Mortality Survey	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2009	F	Female	Y15T19	15 to 19 years old	80.0	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Afghanistan 2010 Mortality Survey	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2013	F	Female	Y15T19	15 to 19 years old	87.0	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Afghanistan 2015 Demographic and Health Survey	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2014	F	Female	Y15T19	15 to 19 years old	77.2	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Afghanistan 2015 Demographic and Health Survey	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2017	F	Female	Y15T19	15 to 19 years old	62.0	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Afghanistan 2018 Health Survey	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	True
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2002	F	Female	Y15T19	15 to 19 years old	13.8	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Registration National Statistics	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2003	F	Female	Y15T19	15 to 19 years old	15.9	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Registration National Statistics	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2004	F	Female	Y15T19	15 to 19 years old	21.4	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Registration National Statistics	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2005	F	Female	Y15T19	15 to 19 years old	20.2	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Registration National Statistics	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
V.5	I731e1dca	Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group	S9ebf1887	Adolescent birth rate (aged 15-19 years) per 1,000 women in that age group	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2006	F	Female	Y15T19	15 to 19 years old	17.7	PER_1000_POP	Per 1,000 population	C	Country Data	G	Global	Registration National Statistics	2021	8700	SP_DYN_ADKL			SEX__AGE	F__Y15T19	Female, 15 to 19 years old	False
