INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	x	y	SDG_REGION	TIME_PERIOD	VALUE_CATEGORY	VALUE_CATEGORY_DESC	SOURCE_DETAIL	SOURCE_DETAIL_url	SOURCE_YEAR
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	4.0	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	12.0	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	48.0	Bahrain	BHR	50.5490754	26.04407747	Northern Africa and Western Asia	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	50.0	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	72.0	Botswana	BWA	23.81380223	-22.18810073	Sub-Saharan Africa	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	96.0	Brunei Darussalam	BRN	114.6288563	4.49736984	Eastern and South-Eastern Asia	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	108.0	Burundi	BDI	29.89080992	-3.366387428	Sub-Saharan Africa	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	174.0	Comoros	COM	43.34234565	-11.66121732	Sub-Saharan Africa	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	262.0	Djibouti	DJI	42.18274707	11.56004161	Sub-Saharan Africa	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	818.0	Egypt	EGY	29.77468534	26.57438204	Northern Africa and Western Asia	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	748.0	Eswatini	SWZ	31.50149288	-26.56471011	Sub-Saharan Africa	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	270.0	Gambia	GMB	-15.39944785	13.45295927	Sub-Saharan Africa	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	360.0	Indonesia	IDN	113.9174	-0.994582204	Eastern and South-Eastern Asia	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	364.0	Iran (Islamic Republic of)	IRN	54.19766348	32.74370885	Central and Southern Asia	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	368.0	Iraq	IRQ	43.76606267	33.05013795	Northern Africa and Western Asia	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
63.0	10.0	Whether or not inheritance rights discriminate against women and girls	96.0	Whether or not inheritance rights discriminate against daughters	400.0	Jordan	JOR	37.13024774	30.65365973	Northern Africa and Western Asia	2020.0	33.0	The law does not guarantee the same inheritance rights	Women, Business and the Law 2020	http://wbl.worldbank.org	2019.0
