INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_DETAIL	SOURCE_YEAR	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	2015	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	19.99	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:50:04	2017	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	True
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	2014	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	20.94	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:50:04	2017	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	False
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	2013	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	22.19	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:50:04	2017	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	False
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	2012	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	1.5	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T20:02:55	2017	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	False
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	2011	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	6.69	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T20:02:55	2017	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	False
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	2010	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	5.1	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T20:02:55	2017	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	False
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	2009	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.0	PT	Percent	N	Non-relevant	G	Global	Data extracted via UNESCO API on: 2018-08-06T20:02:55	2017	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	False
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	2008	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.0	PT	Percent	N	Non-relevant	G	Global	Data extracted via UNESCO API on: 2018-08-06T20:02:55	2017	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	False
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	2007	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.0	PT	Percent	N	Non-relevant	G	Global	Data extracted via UNESCO API on: 2018-08-06T20:02:55	2017	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	False
II.12	229b17ac	Educational attainment of the population aged 25 and older by sex	56e81ed9	Educational attainment (minimum tertiary) of the population aged 25 and older, by sex	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	2006	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.0	PT	Percent	N	Non-relevant	G	Global	Data extracted via UNESCO API on: 2018-08-06T20:02:55	2017	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_5T8	Both sexes or no breakdown by sex, 25 years old and over, short-cycle tertiary (isced 5) or higher	False
