INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	SEX	SEX_DESC	VALUE_CATEGORY	VALUE_CATEGORY_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	COMMENT_OBS	SOURCE_YEAR
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	F	Female	26	Both at least 18 years	18.0	YR	Years		2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	64	Bhutan	BTN	90.45098484	27.39598568	Central and Southern Asia	F	Female	26	Both at least 18 years	18.0	YR	Years		2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	144	Sri Lanka	LKA	80.70489654	7.614693343	Central and Southern Asia	F	Female	26	Both at least 18 years	18.0	YR	Years	Minimum legal ages at marriage may vary across states/provinces ethnic groups religious groups or forms of marriage.	2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	356	India	IND	79.3608464	22.34642074	Central and Southern Asia	F	Female	26	Both at least 18 years	18.0	YR	Years	Minimum legal ages at marriage may vary across states/provinces ethnic groups religious groups or forms of marriage.	2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	462	Maldives	MDV	73.09672546	-0.614385021	Central and Southern Asia	F	Female	26	Both at least 18 years	18.0	YR	Years		2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	524	Nepal	NPL	83.94678863	28.25866332	Central and Southern Asia	F	Female	26	Both at least 18 years	20.0	YR	Years		2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	36	Australia	AUS	134.3499412	-25.57717202	Australia and New Zealand	F	Female	26	Both at least 18 years	18.0	YR	Years		2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	F	Female	26	Both at least 18 years	18.0	YR	Years	Persons less than 18 years old need a decision of the court.	2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	60	Bermuda	BMU	-64.78155012	32.27881922	Europe and Northern America	F	Female	26	Both at least 18 years	18.0	YR	Years	The minimum legal age at which marriage can take place is the same respectively for bride and groom with or without parental consent.	2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	70	Bosnia and Herzegovina	BIH	17.78584332	44.16845548	Europe and Northern America	F	Female	26	Both at least 18 years	18.0	YR	Years		2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	100	Bulgaria	BGR	25.23763153	42.75731323	Europe and Northern America	F	Female	26	Both at least 18 years	18.0	YR	Years		2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	112	Belarus	BLR	28.04940161	53.54193075	Europe and Northern America	F	Female	26	Both at least 18 years	18.0	YR	Years	In compliance with the Marriage and Family Code of the Republic of Belarus in the exclusive cases related to pregnancy childbirth and in case of acquiring by a juvenile of a full legal capacity under lawful age the civil registration offices are in a position to reduce the marriage age of espousing persons but not more than by 3 years. The marriage age is to be reduced by an application of espousing persons; the parental consent is not required.	2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	124	Canada	CAN	-101.6575058	57.72360191	Europe and Northern America	F	Female	26	Both at least 18 years	18.0	YR	Years	Marriage is under provincial and territory legislations. Without parental consent the minimum legal age at which marriage can take place is 18 years of age in all provinces and territories in Canada except in British Columbia Newfoundland and Labrador Nova Scotia Nunavut and Yukon where the minimum legal age is 19 years. With parental consent the minimum legal age is 16 years in all provinces except in Northwest Territories Nunavut and Yukon. With parental consent in Northwest Territories and Yukon the minimum legal age is 15 years whereas in Nunavut the minimum legal age is 18 years.	2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	191	Croatia	HRV	17.95874553	45.45172212	Europe and Northern America	F	Female	26	Both at least 18 years	18.0	YR	Years		2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	196	Cyprus	CYP	33.22285964	35.05659437	Northern Africa and Western Asia	F	Female	26	Both at least 18 years	18.0	YR	Years		2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	203	Czechia	CZE	15.33151382	49.73913871	Europe and Northern America	F	Female	26	Both at least 18 years	18.0	YR	Years		2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	208	Denmark	DNK	9.326571283	56.03829721	Europe and Northern America	F	Female	26	Both at least 18 years	18.0	YR	Years		2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	233	Estonia	EST	25.84093481	58.68487172	Europe and Northern America	F	Female	26	Both at least 18 years	18.0	YR	Years		2017
64	11	Legal minimum age at marriage by sex	97	Minimum age for legal marriage - Without parental consent	246	Finland	FIN	23.308447	61.91586738	Europe and Northern America	F	Female	26	Both at least 18 years	18.0	YR	Years	Persons less than 18 years old need the permission of the Ministry of Justice.	2017
