INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE_MODIFIER	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	LOWER_BOUND_MODIFIER	LOWER_BOUND	UPPER_BOUND_MODIFIER	UPPER_BOUND	SOURCE_YEAR
40.0	40.0	Access to anti-retroviral drug, by sex	34.0	Access to anti-retroviral drug, by sex	4.0	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2018.0	F	Female		12.0	PT	Percent	E	Estimated	G	Global		7.0		19.0	2019.0
40.0	40.0	Access to anti-retroviral drug, by sex	34.0	Access to anti-retroviral drug, by sex	4.0	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2018.0	M	Male		13.0	PT	Percent	E	Estimated	G	Global		7.0		21.0	2019.0
40.0	40.0	Access to anti-retroviral drug, by sex	34.0	Access to anti-retroviral drug, by sex	12.0	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018.0	F	Female		83.0	PT	Percent	E	Estimated	G	Global		78.0		88.0	2019.0
40.0	40.0	Access to anti-retroviral drug, by sex	34.0	Access to anti-retroviral drug, by sex	12.0	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018.0	M	Male		74.0	PT	Percent	E	Estimated	G	Global		66.0		81.0	2019.0
40.0	40.0	Access to anti-retroviral drug, by sex	34.0	Access to anti-retroviral drug, by sex	24.0	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	2018.0	F	Female		27.0	PT	Percent	E	Estimated	G	Global		24.0		32.0	2019.0
40.0	40.0	Access to anti-retroviral drug, by sex	34.0	Access to anti-retroviral drug, by sex	24.0	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	2018.0	M	Male		30.0	PT	Percent	E	Estimated	G	Global		26.0		36.0	2019.0
40.0	40.0	Access to anti-retroviral drug, by sex	34.0	Access to anti-retroviral drug, by sex	32.0	Argentina	ARG	-65.14563274	-35.19446255	Latin America and the Caribbean	2018.0	F	Female		69.0	PT	Percent	E	Estimated	G	Global		63.0		75.0	2019.0
40.0	40.0	Access to anti-retroviral drug, by sex	34.0	Access to anti-retroviral drug, by sex	32.0	Argentina	ARG	-65.14563274	-35.19446255	Latin America and the Caribbean	2018.0	M	Male		57.0	PT	Percent	E	Estimated	G	Global		50.0		63.0	2019.0
40.0	40.0	Access to anti-retroviral drug, by sex	34.0	Access to anti-retroviral drug, by sex	36.0	Australia	AUS	134.3499412	-25.57717202	Australia and New Zealand	2018.0	F	Female		83.0	PT	Percent	E	Estimated	G	Global		72.0		91.0	2019.0
40.0	40.0	Access to anti-retroviral drug, by sex	34.0	Access to anti-retroviral drug, by sex	36.0	Australia	AUS	134.3499412	-25.57717202	Australia and New Zealand	2018.0	M	Male		82.0	PT	Percent	E	Estimated	G	Global		69.0		94.0	2019.0
