INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	TIME_DETAIL	VALUE_CATEGORY	VALUE_CATEGORY_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_YEAR	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	376	Israel	ISR	34.62277992	31.06164552	Northern Africa and Western Asia	1959	1959-01-12 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	368	Iraq	IRQ	43.76606267	33.05013795	Northern Africa and Western Asia	1959	1959-06-15 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	430	Liberia	LBR	-9.311879038	6.448381009	Sub-Saharan Africa	1959	1959-07-22 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	788	Tunisia	TUN	9.572737411	34.11439971	Northern Africa and Western Asia	1959	1959-09-14 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	578	Norway	NOR	11.47846389	61.34311134	Europe and Northern America	1959	1959-09-24 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	620	Portugal	PRT	-7.961599811	39.68509315	Europe and Northern America	1959	1959-11-19 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	818	Egypt	EGY	29.77468534	26.57438204	Northern Africa and Western Asia	1960	1960-05-10 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	760	Syrian Arab Republic	SYR	38.50466565	35.01676176	Northern Africa and Western Asia	1960	1960-05-10 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	356	India	IND	79.3608464	22.34642074	Central and Southern Asia	1960	1960-06-03 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	340	Honduras	HND	-86.59974381	14.82243161	Latin America and the Caribbean	1960	1960-06-20 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	208	Denmark	DNK	9.326571283	56.03829721	Europe and Northern America	1960	1960-06-22 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	100	Bulgaria	BGR	25.23763153	42.75731323	Europe and Northern America	1960	1960-07-22 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	324	Guinea	GIN	-11.28173419	11.00210343	Sub-Saharan Africa	1960	1960-09-01 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	320	Guatemala	GTM	-91.2312746	15.00273719	Latin America and the Caribbean	1960	1960-10-11 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	608	Philippines	PHL	120.8601418	14.16591706	Eastern and South-Eastern Asia	1960	1960-11-17 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	586	Pakistan	PAK	68.80479684	29.36491634	Central and Southern Asia	1961	1961-01-24 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019				True
