INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE_MODIFIER	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_YEAR
37	37	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	31	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2000	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over		30.9	PT	Percent	E	Estimated	G	Global	2019
37	37	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	31	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2015	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over		23.2	PT	Percent	E	Estimated	G	Global	2019
37	37	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	31	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2016	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over		22.8	PT	Percent	E	Estimated	G	Global	2019
37	37	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	31	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	144	Sri Lanka	LKA	80.70489654	7.614693343	Central and Southern Asia	2000	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over		16.6	PT	Percent	E	Estimated	G	Global	2019
37	37	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	31	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	144	Sri Lanka	LKA	80.70489654	7.614693343	Central and Southern Asia	2015	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over		13.2	PT	Percent	E	Estimated	G	Global	2019
37	37	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	31	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	144	Sri Lanka	LKA	80.70489654	7.614693343	Central and Southern Asia	2016	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over		13.7	PT	Percent	E	Estimated	G	Global	2019
37	37	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	31	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	356	India	IND	79.3608464	22.34642074	Central and Southern Asia	2000	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over		20.8	PT	Percent	E	Estimated	G	Global	2019
37	37	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	31	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	356	India	IND	79.3608464	22.34642074	Central and Southern Asia	2015	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over		11.9	PT	Percent	E	Estimated	G	Global	2019
37	37	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	31	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	356	India	IND	79.3608464	22.34642074	Central and Southern Asia	2016	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over		11.3	PT	Percent	E	Estimated	G	Global	2019
37	37	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	31	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	364	Iran (Islamic Republic of)	IRN	54.19766348	32.74370885	Central and Southern Asia	2000	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over		17.4	PT	Percent	E	Estimated	G	Global	2019
