INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	URBANIZATION	URBANIZATION_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	F	Female	Y_GE10	10 years old and over	_T	All areas	0.7166664	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global		Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	F__Y_GE10___T	Female, 10 years old and over, all areas	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	M	Male	Y_GE10	10 years old and over	_T	All areas	0.0833327999999999	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global		Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	M__Y_GE10___T	Male, 10 years old and over, all areas	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	F	Female	Y_GE65	65 years old and over	_T	All areas	0.3333336	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global		Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	F__Y_GE65___T	Female, 65 years old and over, all areas	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	M	Male	Y_GE65	65 years old and over	_T	All areas	0.0833327999999999	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global		Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	M__Y_GE65___T	Male, 65 years old and over, all areas	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	F	Female	Y_GE10	10 years old and over	R	Rural	0.7999992	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global		Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	F__Y_GE10__R	Female, 10 years old and over, rural	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	M	Male	Y_GE10	10 years old and over	R	Rural	0.0833327999999999	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global		Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	M__Y_GE10__R	Male, 10 years old and over, rural	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	F	Female	Y_GE65	65 years old and over	R	Rural	0.2666664	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global		Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	F__Y_GE65__R	Female, 65 years old and over, rural	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	M	Male	Y_GE65	65 years old and over	R	Rural	0.0666672	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global		Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	M__Y_GE65__R	Male, 65 years old and over, rural	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	F	Female	Y_GE10	10 years old and over	U	Urban	0.6499992	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global		Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	F__Y_GE10__U	Female, 10 years old and over, urban	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	M	Male	Y_GE10	10 years old and over	U	Urban	0.1000008	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global		Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	M__Y_GE10__U	Male, 10 years old and over, urban	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	F	Female	Y_GE65	65 years old and over	U	Urban	0.3833328	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global		Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	F__Y_GE65__U	Female, 65 years old and over, urban	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	M	Male	Y_GE65	65 years old and over	U	Urban	0.1333344	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global		Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	M__Y_GE65__U	Male, 65 years old and over, urban	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2012	F	Female	Y_GE12	12 years old and over	_T	All areas	0.4999992	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global	Travel related to unpaid care work is not included.	Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	F__Y_GE12___T	Female, 12 years old and over, all areas	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2012	M	Male	Y_GE12	12 years old and over	_T	All areas	0.1999992	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global	Travel related to unpaid care work is not included.	Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	M__Y_GE12___T	Male, 12 years old and over, all areas	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2012	F	Female	Y15T24	15 to 24 years old	_T	All areas	0.7999992	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global	Travel related to unpaid care work is not included.	Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	F__Y15T24___T	Female, 15 to 24 years old, all areas	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2012	M	Male	Y15T24	15 to 24 years old	_T	All areas	0.1999992	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global	Travel related to unpaid care work is not included.	Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	M__Y15T24___T	Male, 15 to 24 years old, all areas	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2012	F	Female	Y_GE12	12 years old and over	R	Rural	0.4999992	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global	Travel related to unpaid care work is not included.	Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	F__Y_GE12__R	Female, 12 years old and over, rural	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2012	M	Male	Y_GE12	12 years old and over	R	Rural	0.1000008	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global	Travel related to unpaid care work is not included.	Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	M__Y_GE12__R	Male, 12 years old and over, rural	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2012	F	Female	Y_GE12	12 years old and over	U	Urban	0.4999992	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global	Travel related to unpaid care work is not included.	Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	F__Y_GE12__U	Female, 12 years old and over, urban	True
I.1	I98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	S0db81b0d	Average number of hours spent on unpaid care work, by sex, age and location	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2012	M	Male	Y_GE12	12 years old and over	U	Urban	0.1000008	HR_PER_DAY	Hours per day	CA	Country Adjusted	G	Global	Travel related to unpaid care work is not included.	Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.	2021	300	SL_DOM_TSPDCW			SEX__AGE__URBANIZATION	M__Y_GE12__U	Male, 12 years old and over, urban	True
