INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	TIME_DETAIL	SEX	SEX_DESC	AGE	AGE_DESC	VIOLENCE_TYPE	VIOLENCE_TYPE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_DETAIL_URL	SOURCE_YEAR
48	48	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	77	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical sexual or psychological violence by a current or former intimate partner in the previous 12 months by form of violence and by age	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2015		F	Female	Y15T49	15 to 49 years old	PHY+SEX	Physical and sexual	46.1	PT	Percent	C	Country Data	G	Global				2019
48	48	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	77	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical sexual or psychological violence by a current or former intimate partner in the previous 12 months by form of violence and by age	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2015		F	Female	Y30T34	30 to 34 years old	PHY+SEX	Physical and sexual	49.3	PT	Percent	C	Country Data	G	Global				2019
48	48	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	77	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical sexual or psychological violence by a current or former intimate partner in the previous 12 months by form of violence and by age	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2015		F	Female	Y35T39	35 to 39 years old	PHY+SEX	Physical and sexual	49.1	PT	Percent	C	Country Data	G	Global				2019
48	48	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	77	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical sexual or psychological violence by a current or former intimate partner in the previous 12 months by form of violence and by age	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2015		F	Female	Y40T44	40 to 44 years old	PHY+SEX	Physical and sexual	45.2	PT	Percent	C	Country Data	G	Global				2019
48	48	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	77	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical sexual or psychological violence by a current or former intimate partner in the previous 12 months by form of violence and by age	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2015		F	Female	Y20T24	20 to 24 years old	PHY+SEX	Physical and sexual	41.1	PT	Percent	C	Country Data	G	Global				2019
48	48	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	77	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical sexual or psychological violence by a current or former intimate partner in the previous 12 months by form of violence and by age	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2015		F	Female	Y45T49	45 to 49 years old	PHY+SEX	Physical and sexual	51.9	PT	Percent	C	Country Data	G	Global				2019
48	48	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	77	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical sexual or psychological violence by a current or former intimate partner in the previous 12 months by form of violence and by age	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2015		F	Female	Y15T19	15 to 19 years old	PHY+SEX	Physical and sexual	28.7	PT	Percent	C	Country Data	G	Global				2019
48	48	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	77	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical sexual or psychological violence by a current or former intimate partner in the previous 12 months by form of violence and by age	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2015		F	Female	Y25T29	25 to 29 years old	PHY+SEX	Physical and sexual	48.6	PT	Percent	C	Country Data	G	Global				2019
48	48	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	77	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical sexual or psychological violence by a current or former intimate partner in the previous 12 months by form of violence and by age	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2015		F	Female	Y30T34	30 to 34 years old	PHY+SEX	Physical and sexual	30.8	PT	Percent	C	Country Data	G	Global				2019
48	48	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	77	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical sexual or psychological violence by a current or former intimate partner in the previous 12 months by form of violence and by age	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2015		F	Female	Y35T39	35 to 39 years old	PHY+SEX	Physical and sexual	27.1	PT	Percent	C	Country Data	G	Global				2019
