INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	URBANIZATION	URBANIZATION_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_YEAR	isLatestValue
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	643	Russian Federation	RUS	100.0	60.0	Europe and Northern America	2014	F	Female	Y_GE15	15 years old and over	R	Rural	8.67	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the 2014 Time-use survey to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	643	Russian Federation	RUS	100.0	60.0	Europe and Northern America	2014	M	Male	Y_GE15	15 years old and over	R	Rural	8.0	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the 2014 Time-use survey to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	8	Albania	ALB	20.0	41.0	Europe and Northern America	2011	F	Female	Y_GE10	10 years old and over	R	Rural	8.03	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid domestic work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	8	Albania	ALB	20.0	41.0	Europe and Northern America	2011	M	Male	Y_GE10	10 years old and over	R	Rural	5.4	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid domestic work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	8	Albania	ALB	20.0	41.0	Europe and Northern America	2011	F	Female	Y_GE65	65 years old and over	R	Rural	5.85	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid domestic work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	8	Albania	ALB	20.0	41.0	Europe and Northern America	2011	M	Male	Y_GE65	65 years old and over	R	Rural	3.82	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid domestic work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	CMR	12.0	6.0	Sub-Saharan Africa	2014	F	Female	Y_GE10	10 years old and over	R	Rural	7.4	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid domestic work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	CMR	12.0	6.0	Sub-Saharan Africa	2014	M	Male	Y_GE10	10 years old and over	R	Rural	6.1	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid domestic work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	CMR	12.0	6.0	Sub-Saharan Africa	2014	F	Female	Y_GE15	15 years old and over	R	Rural	8.16	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid domestic work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	CMR	12.0	6.0	Sub-Saharan Africa	2014	M	Male	Y_GE15	15 years old and over	R	Rural	6.92	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid domestic work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	CMR	12.0	6.0	Sub-Saharan Africa	2014	F	Female	Y15T24	15 to 24 years old	R	Rural	6.74	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid domestic work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	CMR	12.0	6.0	Sub-Saharan Africa	2014	M	Male	Y15T24	15 to 24 years old	R	Rural	4.95	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid domestic work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	CMR	12.0	6.0	Sub-Saharan Africa	2014	F	Female	Y25T44	25 to 44 years old	R	Rural	8.97	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid domestic work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	CMR	12.0	6.0	Sub-Saharan Africa	2014	M	Male	Y25T44	25 to 44 years old	R	Rural	8.31	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid domestic work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.	2017	True
2	2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	CMR	12.0	6.0	Sub-Saharan Africa	2014	F	Female	Y45T54	45 to 54 years old	R	Rural	9.8	HR	Hours	CA	Country Adjusted	G	Global	Time on unpaid domestic work includes time spent on community or volunteer work;	Calculated by UNSD based on available country data from the Fourth Cameroon Household Survey ECAM 4 to apply ICATUS.	2017	True
