INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	SEX	SEX_DESC	TIME_PERIOD	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
I.5	I51881915	Proportion of employed who are contributing family workers, by sex	S51881915	Proportion of employed who are contributing family workers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	F	Female	2008	74.5	PT	Percent	C	Country Data	G	Global	Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing	HIES - Living Conditions Survey	2021	800		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.5	I51881915	Proportion of employed who are contributing family workers, by sex	S51881915	Proportion of employed who are contributing family workers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	F	Female	2012	38.6	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	HIES - Living Conditions Survey	2021	800		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.5	I51881915	Proportion of employed who are contributing family workers, by sex	S51881915	Proportion of employed who are contributing family workers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	F	Female	2014	64.3	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	HIES - Living Conditions Survey	2021	800		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.5	I51881915	Proportion of employed who are contributing family workers, by sex	S51881915	Proportion of employed who are contributing family workers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	F	Female	2017	66.8	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	HIES - Living Conditions Survey	2021	800		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.5	I51881915	Proportion of employed who are contributing family workers, by sex	S51881915	Proportion of employed who are contributing family workers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	F	Female	2020	58.9	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	800		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	True
I.5	I51881915	Proportion of employed who are contributing family workers, by sex	S51881915	Proportion of employed who are contributing family workers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2007	37.1	PT	Percent	C	Country Data	G	Global	Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	800		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.5	I51881915	Proportion of employed who are contributing family workers, by sex	S51881915	Proportion of employed who are contributing family workers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2009	43.9	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	800		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.5	I51881915	Proportion of employed who are contributing family workers, by sex	S51881915	Proportion of employed who are contributing family workers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2011	43.2	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	800		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.5	I51881915	Proportion of employed who are contributing family workers, by sex	S51881915	Proportion of employed who are contributing family workers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2012	50.2	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	800		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.5	I51881915	Proportion of employed who are contributing family workers, by sex	S51881915	Proportion of employed who are contributing family workers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2013	45.1	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	800		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.5	I51881915	Proportion of employed who are contributing family workers, by sex	S51881915	Proportion of employed who are contributing family workers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2014	41.4	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	800		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.5	I51881915	Proportion of employed who are contributing family workers, by sex	S51881915	Proportion of employed who are contributing family workers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2015	39.7	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	800		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
