INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_YEAR	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2008	F	Female	8.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2009	F	Female	9.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2010	F	Female	9.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	F	Female	10.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2012	F	Female	10.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2013	F	Female	11.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2014	F	Female	11.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2015	F	Female	10.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2016	F	Female	14.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2017	F	Female	14.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	True
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2006	F	Female	4.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2007	F	Female	5.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2008	F	Female	5.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2009	F	Female	5.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2010	F	Female	6.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2011	F	Female	6.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2012	F	Female	6.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2013	F	Female	6.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2014	F	Female	6.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2015	F	Female	6.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	True
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2007	F	Female	9.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2008	F	Female	9.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2009	F	Female	9.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2010	F	Female	9.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2011	F	Female	9.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
IV.4	b3320b80	Share of female police officers	b3320b80	Share of female police officers	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2012	F	Female	9.0	PT	Percent	C	Country Data	G	Global	2019	SEX	F	Female	False
