INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	660	Anguilla	AIA	-63.05651612	18.21525315	Latin America and the Caribbean	2001	_T	Both sexes or no breakdown by sex	AGG_1T8	Primary (ISCED 1) or higher	95.5177	PT	Percent	C	Country Data	G	Global	2021	5600			EA_1t8_AG25t99, EA_1t8_AG25t99_F, EA_1t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_1T8	Both sexes or no breakdown by sex, primary (isced 1) or higher	True
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	854	Burkina Faso	BFA	-1.742843829	12.27491081	Sub-Saharan Africa	2006	_T	Both sexes or no breakdown by sex	AGG_1T8	Primary (ISCED 1) or higher	11.271	PT	Percent	C	Country Data	G	Global	2021	5600			EA_1t8_AG25t99, EA_1t8_AG25t99_F, EA_1t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_1T8	Both sexes or no breakdown by sex, primary (isced 1) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	854	Burkina Faso	BFA	-1.742843829	12.27491081	Sub-Saharan Africa	2007	_T	Both sexes or no breakdown by sex	AGG_1T8	Primary (ISCED 1) or higher	5.16848	PT	Percent	C	Country Data	G	Global	2021	5600			EA_1t8_AG25t99, EA_1t8_AG25t99_F, EA_1t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_1T8	Both sexes or no breakdown by sex, primary (isced 1) or higher	True
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	268	Georgia	GEO	43.3713615	42.04813028	Northern Africa and Western Asia	2002	_T	Both sexes or no breakdown by sex	AGG_1T8	Primary (ISCED 1) or higher	98.26799	PT	Percent	C	Country Data	G	Global	2021	5600			EA_1t8_AG25t99, EA_1t8_AG25t99_F, EA_1t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_1T8	Both sexes or no breakdown by sex, primary (isced 1) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	268	Georgia	GEO	43.3713615	42.04813028	Northern Africa and Western Asia	2012	_T	Both sexes or no breakdown by sex	AGG_1T8	Primary (ISCED 1) or higher	98.13642	PT	Percent	C	Country Data	G	Global	2021	5600			EA_1t8_AG25t99, EA_1t8_AG25t99_F, EA_1t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_1T8	Both sexes or no breakdown by sex, primary (isced 1) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	268	Georgia	GEO	43.3713615	42.04813028	Northern Africa and Western Asia	2014	_T	Both sexes or no breakdown by sex	AGG_1T8	Primary (ISCED 1) or higher	98.76518	PT	Percent	C	Country Data	G	Global	2021	5600			EA_1t8_AG25t99, EA_1t8_AG25t99_F, EA_1t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_1T8	Both sexes or no breakdown by sex, primary (isced 1) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	268	Georgia	GEO	43.3713615	42.04813028	Northern Africa and Western Asia	2016	_T	Both sexes or no breakdown by sex	AGG_1T8	Primary (ISCED 1) or higher	99.30614	PT	Percent	C	Country Data	G	Global	2021	5600			EA_1t8_AG25t99, EA_1t8_AG25t99_F, EA_1t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_1T8	Both sexes or no breakdown by sex, primary (isced 1) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	268	Georgia	GEO	43.3713615	42.04813028	Northern Africa and Western Asia	2017	_T	Both sexes or no breakdown by sex	AGG_1T8	Primary (ISCED 1) or higher	99.30672	PT	Percent	C	Country Data	G	Global	2021	5600			EA_1t8_AG25t99, EA_1t8_AG25t99_F, EA_1t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_1T8	Both sexes or no breakdown by sex, primary (isced 1) or higher	True
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	740	Suriname	SUR	-55.90626394	4.132603197	Latin America and the Caribbean	2004	_T	Both sexes or no breakdown by sex	AGG_1T8	Primary (ISCED 1) or higher	87.4632	PT	Percent	C	Country Data	G	Global	2021	5600			EA_1t8_AG25t99, EA_1t8_AG25t99_F, EA_1t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_1T8	Both sexes or no breakdown by sex, primary (isced 1) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	740	Suriname	SUR	-55.90626394	4.132603197	Latin America and the Caribbean	2012	_T	Both sexes or no breakdown by sex	AGG_1T8	Primary (ISCED 1) or higher	90.37945	PT	Percent	C	Country Data	G	Global	2021	5600			EA_1t8_AG25t99, EA_1t8_AG25t99_F, EA_1t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_1T8	Both sexes or no breakdown by sex, primary (isced 1) or higher	True
