INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_YEAR	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2010	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	14.7	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	_T___T	Both sexes or no breakdown by sex, all age ranges or no breakdown by age	False
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2012	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	22.73	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	_T___T	Both sexes or no breakdown by sex, all age ranges or no breakdown by age	False
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2013	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	29.95	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	_T___T	Both sexes or no breakdown by sex, all age ranges or no breakdown by age	True
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	360	Indonesia	IDN	120.0	-5.0	Eastern and South-Eastern Asia	2010	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	9.9	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	_T___T	Both sexes or no breakdown by sex, all age ranges or no breakdown by age	False
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	360	Indonesia	IDN	120.0	-5.0	Eastern and South-Eastern Asia	2011	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	12.28	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	_T___T	Both sexes or no breakdown by sex, all age ranges or no breakdown by age	False
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	360	Indonesia	IDN	120.0	-5.0	Eastern and South-Eastern Asia	2012	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	14.52	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	_T___T	Both sexes or no breakdown by sex, all age ranges or no breakdown by age	False
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	360	Indonesia	IDN	120.0	-5.0	Eastern and South-Eastern Asia	2013	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	14.94	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	_T___T	Both sexes or no breakdown by sex, all age ranges or no breakdown by age	False
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	360	Indonesia	IDN	120.0	-5.0	Eastern and South-Eastern Asia	2014	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	17.14	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	_T___T	Both sexes or no breakdown by sex, all age ranges or no breakdown by age	True
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	804	Ukraine	UKR	32.0	49.0	Europe and Northern America	2013	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	40.95	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	_T___T	Both sexes or no breakdown by sex, all age ranges or no breakdown by age	True
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	804	Ukraine	UKR	32.0	49.0	Europe and Northern America	2010	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	22.0	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	_T___T	Both sexes or no breakdown by sex, all age ranges or no breakdown by age	False
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	804	Ukraine	UKR	32.0	49.0	Europe and Northern America	2011	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	28.71	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	_T___T	Both sexes or no breakdown by sex, all age ranges or no breakdown by age	False
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	804	Ukraine	UKR	32.0	49.0	Europe and Northern America	2012	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	35.27	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	_T___T	Both sexes or no breakdown by sex, all age ranges or no breakdown by age	False
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	184	Cook Islands	COK	-159.7666667	-21.23333333	Oceania, exc. Australia and New Zealand	2011	_T	Both sexes or no breakdown by sex	_T	All age ranges or no breakdown by age	39.03	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	_T___T	Both sexes or no breakdown by sex, all age ranges or no breakdown by age	True
I.17	13151395	Proportion of individuals using the Internet, by sex	13151395	Proportion of individuals using the Internet, by sex	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2010	F	Female	_T	All age ranges or no breakdown by age	12.71	PT	Percent	C	Country data	G	Global		2015	SEX__AGE	F___T	Female, all age ranges or no breakdown by age	False
