INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2009	_T	Both sexes or no breakdown by sex	99.83	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2008	_T	Both sexes or no breakdown by sex	99.84	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2007	_T	Both sexes or no breakdown by sex	99.97	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2006	_T	Both sexes or no breakdown by sex	99.99	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2005	_T	Both sexes or no breakdown by sex	99.98	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2004	_T	Both sexes or no breakdown by sex	99.92	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2003	_T	Both sexes or no breakdown by sex	99.72	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:34	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2002	_T	Both sexes or no breakdown by sex	99.55	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:34	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2001	_T	Both sexes or no breakdown by sex	98.89	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:34	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	1996	_T	Both sexes or no breakdown by sex	99.96	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:34	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2016	_T	Both sexes or no breakdown by sex	99.15	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:36	2017	5100				SEX	_T	Both sexes or no breakdown by sex	True
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2015	_T	Both sexes or no breakdown by sex	99.93	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:36	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2014	_T	Both sexes or no breakdown by sex	99.69	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:36	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2013	_T	Both sexes or no breakdown by sex	99.75	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:36	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2012	_T	Both sexes or no breakdown by sex	99.92	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:36	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2011	_T	Both sexes or no breakdown by sex	100.0	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2010	_T	Both sexes or no breakdown by sex	99.96	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	398	Kazakhstan	KAZ	68.0	48.0	Central and Southern Asia	2000	_T	Both sexes or no breakdown by sex	98.93	PT	Percent	E	Estimated	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:34	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2010	_T	Both sexes or no breakdown by sex	97.33	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2009	_T	Both sexes or no breakdown by sex	96.43	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2008	_T	Both sexes or no breakdown by sex	99.37	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2007	_T	Both sexes or no breakdown by sex	97.78	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2006	_T	Both sexes or no breakdown by sex	96.12	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2005	_T	Both sexes or no breakdown by sex	89.0	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2004	_T	Both sexes or no breakdown by sex	90.97	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:35	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2003	_T	Both sexes or no breakdown by sex	99.1	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:34	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2002	_T	Both sexes or no breakdown by sex	97.15	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:34	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2001	_T	Both sexes or no breakdown by sex	92.57	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:34	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	2000	_T	Both sexes or no breakdown by sex	92.32	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:34	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	1993	_T	Both sexes or no breakdown by sex	91.72	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:33	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	1992	_T	Both sexes or no breakdown by sex	90.68	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:33	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
II.11	I18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex	S18f221cb	Effective transition rate from primary to secondary education (general programmes), by sex (retired)	364	Iran (Islamic Republic of)	IRN	53.0	32.0	Central and Southern Asia	1990	_T	Both sexes or no breakdown by sex	87.75	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-08-06T18:46:33	2017	5100				SEX	_T	Both sexes or no breakdown by sex	False
