INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	SEX	SEX_DESC	TIME_PERIOD	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
I.14	Ic6bf121c	Proportion of employed working part-time, by sex	Sc6bf121c	Proportion of employed working part-time, by sex	204	Benin	BEN	2.339933594	9.65401646	Sub-Saharan Africa	F	Female	2010	29.88	PT	Percent	C	Country Data	G	Global	Age coverage - maximum age: 64 years old	BEN - HIES - Enquête de Suivi de l'Enquête Modulaire et Intégrée sur les Conditions de Vie des Ménages	2021	2300		EMP_PTER_SEX_RT_A		SEX	F	Female	False
I.14	Ic6bf121c	Proportion of employed working part-time, by sex	Sc6bf121c	Proportion of employed working part-time, by sex	204	Benin	BEN	2.339933594	9.65401646	Sub-Saharan Africa	F	Female	2011	31.69	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	BEN - HIES - Enquête de Suivi de l'Enquête Modulaire et Intégrée sur les Conditions de Vie des Ménages	2021	2300		EMP_PTER_SEX_RT_A		SEX	F	Female	True
I.14	Ic6bf121c	Proportion of employed working part-time, by sex	Sc6bf121c	Proportion of employed working part-time, by sex	458	Malaysia	MYS	116.8346314	5.452415309	Eastern and South-Eastern Asia	F	Female	2009	14.52	PT	Percent	C	Country Data	G	Global	Age coverage - maximum age: 64 years old	MYS - LFS - Labour Force Survey	2021	2300		EMP_PTER_SEX_RT_A		SEX	F	Female	False
I.14	Ic6bf121c	Proportion of employed working part-time, by sex	Sc6bf121c	Proportion of employed working part-time, by sex	458	Malaysia	MYS	116.8346314	5.452415309	Eastern and South-Eastern Asia	F	Female	2010	15.31	PT	Percent	C	Country Data	G	Global	Age coverage - maximum age: 64 years old	MYS - LFS - Labour Force Survey	2021	2300		EMP_PTER_SEX_RT_A		SEX	F	Female	False
I.14	Ic6bf121c	Proportion of employed working part-time, by sex	Sc6bf121c	Proportion of employed working part-time, by sex	458	Malaysia	MYS	116.8346314	5.452415309	Eastern and South-Eastern Asia	F	Female	2015	17.53	PT	Percent	C	Country Data	G	Global	Age coverage - maximum age: 64 years old	MYS - LFS - Labour Force Survey	2021	2300		EMP_PTER_SEX_RT_A		SEX	F	Female	False
I.14	Ic6bf121c	Proportion of employed working part-time, by sex	Sc6bf121c	Proportion of employed working part-time, by sex	458	Malaysia	MYS	116.8346314	5.452415309	Eastern and South-Eastern Asia	F	Female	2011	13.88	PT	Percent	C	Country Data	G	Global	Population coverage: Excluding institutional population | Age coverage - maximum age: 64 years old	MYS - LFS - Labour Force Survey	2021	2300		EMP_PTER_SEX_RT_A		SEX	F	Female	False
I.14	Ic6bf121c	Proportion of employed working part-time, by sex	Sc6bf121c	Proportion of employed working part-time, by sex	458	Malaysia	MYS	116.8346314	5.452415309	Eastern and South-Eastern Asia	F	Female	2012	15.22	PT	Percent	C	Country Data	G	Global	Population coverage: Excluding institutional population | Age coverage - maximum age: 64 years old	MYS - LFS - Labour Force Survey	2021	2300		EMP_PTER_SEX_RT_A		SEX	F	Female	False
I.14	Ic6bf121c	Proportion of employed working part-time, by sex	Sc6bf121c	Proportion of employed working part-time, by sex	458	Malaysia	MYS	116.8346314	5.452415309	Eastern and South-Eastern Asia	F	Female	2013	16.37	PT	Percent	C	Country Data	G	Global	Population coverage: Excluding institutional population | Age coverage - maximum age: 64 years old	MYS - LFS - Labour Force Survey	2021	2300		EMP_PTER_SEX_RT_A		SEX	F	Female	False
I.14	Ic6bf121c	Proportion of employed working part-time, by sex	Sc6bf121c	Proportion of employed working part-time, by sex	458	Malaysia	MYS	116.8346314	5.452415309	Eastern and South-Eastern Asia	F	Female	2014	15.13	PT	Percent	C	Country Data	G	Global	Population coverage: Excluding institutional population | Age coverage - maximum age: 64 years old	MYS - LFS - Labour Force Survey	2021	2300		EMP_PTER_SEX_RT_A		SEX	F	Female	False
I.14	Ic6bf121c	Proportion of employed working part-time, by sex	Sc6bf121c	Proportion of employed working part-time, by sex	458	Malaysia	MYS	116.8346314	5.452415309	Eastern and South-Eastern Asia	F	Female	2016	15.22	PT	Percent	C	Country Data	G	Global	Population coverage: Excluding institutional population | Age coverage - maximum age: 64 years old	MYS - LFS - Labour Force Survey	2021	2300		EMP_PTER_SEX_RT_A		SEX	F	Female	False
I.14	Ic6bf121c	Proportion of employed working part-time, by sex	Sc6bf121c	Proportion of employed working part-time, by sex	458	Malaysia	MYS	116.8346314	5.452415309	Eastern and South-Eastern Asia	F	Female	2019	10.19	PT	Percent	C	Country Data	G	Global	Population coverage: Excluding institutional population | Age coverage - maximum age: 64 years old	MYS - LFS - Labour Force Survey	2021	2300		EMP_PTER_SEX_RT_A		SEX	F	Female	True
I.14	Ic6bf121c	Proportion of employed working part-time, by sex	Sc6bf121c	Proportion of employed working part-time, by sex	204	Benin	BEN	2.339933594	9.65401646	Sub-Saharan Africa	M	Male	2010	20.21	PT	Percent	C	Country Data	G	Global	Age coverage - maximum age: 64 years old	BEN - HIES - Enquête de Suivi de l'Enquête Modulaire et Intégrée sur les Conditions de Vie des Ménages	2021	2300		EMP_PTER_SEX_RT_A		SEX	M	Male	False
I.14	Ic6bf121c	Proportion of employed working part-time, by sex	Sc6bf121c	Proportion of employed working part-time, by sex	204	Benin	BEN	2.339933594	9.65401646	Sub-Saharan Africa	M	Male	2011	20.18	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	BEN - HIES - Enquête de Suivi de l'Enquête Modulaire et Intégrée sur les Conditions de Vie des Ménages	2021	2300		EMP_PTER_SEX_RT_A		SEX	M	Male	True
