INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	COMMENT_OBS	SOURCE_YEAR	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2003	F	Female	28.5	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2008	F	Female	25.2	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2000	F	Female	28.1	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2007	F	Female	21.0	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2009	F	Female	23.3	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2010	F	Female	25.4	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2001	F	Female	29.4	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2004	F	Female	22.2	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2006	F	Female	21.0	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2002	F	Female	30.8	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2012	F	Female	27.1	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2013	F	Female	26.3	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2014	F	Female	27.9	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2015	F	Female	27.9	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2016	F	Female	29.5	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2017	F	Female	29.2	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	True
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2005	F	Female	21.5	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;Break in series: Methodology revised	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2011	F	Female	26.1	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;Break in series: Methodology revised	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	56	Belgium	BEL	4.660976456	50.64104975	Europe and Northern America	2003	F	Female	27.3	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	56	Belgium	BEL	4.660976456	50.64104975	Europe and Northern America	2008	F	Female	31.9	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	56	Belgium	BEL	4.660976456	50.64104975	Europe and Northern America	2000	F	Female	24.5	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	56	Belgium	BEL	4.660976456	50.64104975	Europe and Northern America	2007	F	Female	33.5	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	56	Belgium	BEL	4.660976456	50.64104975	Europe and Northern America	2009	F	Female	34.6	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	56	Belgium	BEL	4.660976456	50.64104975	Europe and Northern America	2010	F	Female	34.8	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	56	Belgium	BEL	4.660976456	50.64104975	Europe and Northern America	2004	F	Female	26.9	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
IV.3	6b4d10a8	Proportion of women in managerial positions	ca981746	Proportion of women in senior and middle management positions	56	Belgium	BEL	4.660976456	50.64104975	Europe and Northern America	2006	F	Female	31.1	PT	Percent	C	Country Data	Repository: Eurostat special tabulation;	2019	SEX	F	Female	False
