INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
II.7	Ia00b1ab7	Proportion of females among tertiary education teachers or professors	Sa00b1ab7	Proportion of females among tertiary education teachers or professors	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1985	F	Female	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	22.57	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:49	2017	4300			FTP_5t8	SEX__EDUCATION_LEV	F__AGG_5T8	Female, short-cycle tertiary (isced 5) or higher	False
II.7	Ia00b1ab7	Proportion of females among tertiary education teachers or professors	Sa00b1ab7	Proportion of females among tertiary education teachers or professors	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1988	F	Female	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	28.31	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:50	2017	4300			FTP_5t8	SEX__EDUCATION_LEV	F__AGG_5T8	Female, short-cycle tertiary (isced 5) or higher	False
II.7	Ia00b1ab7	Proportion of females among tertiary education teachers or professors	Sa00b1ab7	Proportion of females among tertiary education teachers or professors	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1989	F	Female	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	29.34	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:50	2017	4300			FTP_5t8	SEX__EDUCATION_LEV	F__AGG_5T8	Female, short-cycle tertiary (isced 5) or higher	False
II.7	Ia00b1ab7	Proportion of females among tertiary education teachers or professors	Sa00b1ab7	Proportion of females among tertiary education teachers or professors	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1990	F	Female	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	33.08	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:50	2017	4300			FTP_5t8	SEX__EDUCATION_LEV	F__AGG_5T8	Female, short-cycle tertiary (isced 5) or higher	False
II.7	Ia00b1ab7	Proportion of females among tertiary education teachers or professors	Sa00b1ab7	Proportion of females among tertiary education teachers or professors	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1991	F	Female	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	33.28	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:50	2017	4300			FTP_5t8	SEX__EDUCATION_LEV	F__AGG_5T8	Female, short-cycle tertiary (isced 5) or higher	False
II.7	Ia00b1ab7	Proportion of females among tertiary education teachers or professors	Sa00b1ab7	Proportion of females among tertiary education teachers or professors	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1992	F	Female	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	31.43	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:50	2017	4300			FTP_5t8	SEX__EDUCATION_LEV	F__AGG_5T8	Female, short-cycle tertiary (isced 5) or higher	False
II.7	Ia00b1ab7	Proportion of females among tertiary education teachers or professors	Sa00b1ab7	Proportion of females among tertiary education teachers or professors	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	2013	F	Female	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	44.01	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:53	2017	4300			FTP_5t8	SEX__EDUCATION_LEV	F__AGG_5T8	Female, short-cycle tertiary (isced 5) or higher	True
II.7	Ia00b1ab7	Proportion of females among tertiary education teachers or professors	Sa00b1ab7	Proportion of females among tertiary education teachers or professors	554	New Zealand	NZL	174.0	-41.0	Australia and New Zealand	1970	F	Female	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	14.53	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:48	2017	4300			FTP_5t8	SEX__EDUCATION_LEV	F__AGG_5T8	Female, short-cycle tertiary (isced 5) or higher	False
II.7	Ia00b1ab7	Proportion of females among tertiary education teachers or professors	Sa00b1ab7	Proportion of females among tertiary education teachers or professors	554	New Zealand	NZL	174.0	-41.0	Australia and New Zealand	1971	F	Female	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	14.55	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:48	2017	4300			FTP_5t8	SEX__EDUCATION_LEV	F__AGG_5T8	Female, short-cycle tertiary (isced 5) or higher	False
II.7	Ia00b1ab7	Proportion of females among tertiary education teachers or professors	Sa00b1ab7	Proportion of females among tertiary education teachers or professors	554	New Zealand	NZL	174.0	-41.0	Australia and New Zealand	1980	F	Female	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	17.9	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:49	2017	4300			FTP_5t8	SEX__EDUCATION_LEV	F__AGG_5T8	Female, short-cycle tertiary (isced 5) or higher	False
II.7	Ia00b1ab7	Proportion of females among tertiary education teachers or professors	Sa00b1ab7	Proportion of females among tertiary education teachers or professors	554	New Zealand	NZL	174.0	-41.0	Australia and New Zealand	1981	F	Female	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	19.93	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:49	2017	4300			FTP_5t8	SEX__EDUCATION_LEV	F__AGG_5T8	Female, short-cycle tertiary (isced 5) or higher	False
II.7	Ia00b1ab7	Proportion of females among tertiary education teachers or professors	Sa00b1ab7	Proportion of females among tertiary education teachers or professors	554	New Zealand	NZL	174.0	-41.0	Australia and New Zealand	1982	F	Female	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	23.17	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:49	2017	4300			FTP_5t8	SEX__EDUCATION_LEV	F__AGG_5T8	Female, short-cycle tertiary (isced 5) or higher	False
II.7	Ia00b1ab7	Proportion of females among tertiary education teachers or professors	Sa00b1ab7	Proportion of females among tertiary education teachers or professors	554	New Zealand	NZL	174.0	-41.0	Australia and New Zealand	1983	F	Female	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	21.74	PT	Percent	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:49	2017	4300			FTP_5t8	SEX__EDUCATION_LEV	F__AGG_5T8	Female, short-cycle tertiary (isced 5) or higher	False
