INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
II.5	I856d2383	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	Sbc8f1af8	Gender parity index of the gross enrolment ratios in tertiary education (retired)	4	Afghanistan	AFG	65.0	33.0	Central and Southern Asia	1970	_T	Both sexes or no breakdown by sex	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.17	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:09	2017	4100				SEX__EDUCATION_LEV	_T__AGG_5T8	Both sexes or no breakdown by sex, short-cycle tertiary (isced 5) or higher	False
II.5	I856d2383	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	Sbc8f1af8	Gender parity index of the gross enrolment ratios in tertiary education (retired)	4	Afghanistan	AFG	65.0	33.0	Central and Southern Asia	1972	_T	Both sexes or no breakdown by sex	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.15	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:10	2017	4100				SEX__EDUCATION_LEV	_T__AGG_5T8	Both sexes or no breakdown by sex, short-cycle tertiary (isced 5) or higher	False
II.5	I856d2383	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	Sbc8f1af8	Gender parity index of the gross enrolment ratios in tertiary education (retired)	4	Afghanistan	AFG	65.0	33.0	Central and Southern Asia	1973	_T	Both sexes or no breakdown by sex	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.19	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:10	2017	4100				SEX__EDUCATION_LEV	_T__AGG_5T8	Both sexes or no breakdown by sex, short-cycle tertiary (isced 5) or higher	False
II.5	I856d2383	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	Sbc8f1af8	Gender parity index of the gross enrolment ratios in tertiary education (retired)	4	Afghanistan	AFG	65.0	33.0	Central and Southern Asia	1974	_T	Both sexes or no breakdown by sex	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.16	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:10	2017	4100				SEX__EDUCATION_LEV	_T__AGG_5T8	Both sexes or no breakdown by sex, short-cycle tertiary (isced 5) or higher	False
II.5	I856d2383	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	Sbc8f1af8	Gender parity index of the gross enrolment ratios in tertiary education (retired)	4	Afghanistan	AFG	65.0	33.0	Central and Southern Asia	1975	_T	Both sexes or no breakdown by sex	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.16	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:10	2017	4100				SEX__EDUCATION_LEV	_T__AGG_5T8	Both sexes or no breakdown by sex, short-cycle tertiary (isced 5) or higher	False
II.5	I856d2383	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	Sbc8f1af8	Gender parity index of the gross enrolment ratios in tertiary education (retired)	4	Afghanistan	AFG	65.0	33.0	Central and Southern Asia	1976	_T	Both sexes or no breakdown by sex	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.17	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:10	2017	4100				SEX__EDUCATION_LEV	_T__AGG_5T8	Both sexes or no breakdown by sex, short-cycle tertiary (isced 5) or higher	False
II.5	I856d2383	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	Sbc8f1af8	Gender parity index of the gross enrolment ratios in tertiary education (retired)	4	Afghanistan	AFG	65.0	33.0	Central and Southern Asia	1977	_T	Both sexes or no breakdown by sex	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.26	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:10	2017	4100				SEX__EDUCATION_LEV	_T__AGG_5T8	Both sexes or no breakdown by sex, short-cycle tertiary (isced 5) or higher	False
II.5	I856d2383	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	Sbc8f1af8	Gender parity index of the gross enrolment ratios in tertiary education (retired)	4	Afghanistan	AFG	65.0	33.0	Central and Southern Asia	1978	_T	Both sexes or no breakdown by sex	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.24	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:10	2017	4100				SEX__EDUCATION_LEV	_T__AGG_5T8	Both sexes or no breakdown by sex, short-cycle tertiary (isced 5) or higher	False
II.5	I856d2383	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	Sbc8f1af8	Gender parity index of the gross enrolment ratios in tertiary education (retired)	4	Afghanistan	AFG	65.0	33.0	Central and Southern Asia	1979	_T	Both sexes or no breakdown by sex	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.19	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:10	2017	4100				SEX__EDUCATION_LEV	_T__AGG_5T8	Both sexes or no breakdown by sex, short-cycle tertiary (isced 5) or higher	False
II.5	I856d2383	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	Sbc8f1af8	Gender parity index of the gross enrolment ratios in tertiary education (retired)	4	Afghanistan	AFG	65.0	33.0	Central and Southern Asia	1986	_T	Both sexes or no breakdown by sex	AGG_5T8	Short-cycle tertiary (ISCED 5) or higher	0.17	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:37:11	2017	4100				SEX__EDUCATION_LEV	_T__AGG_5T8	Both sexes or no breakdown by sex, short-cycle tertiary (isced 5) or higher	False
