INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_YEAR
46	46	Share of female police officers	75	Share of female police officers	336	Holy See	VAT	12.45	41.9	Europe and Northern America	2012	F	Female	0.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	336	Holy See	VAT	12.45	41.9	Europe and Northern America	2011	F	Female	0.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	336	Holy See	VAT	12.45	41.9	Europe and Northern America	2010	F	Female	0.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	336	Holy See	VAT	12.45	41.9	Europe and Northern America	2009	F	Female	0.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	328	Guyana	GUY	-59.0	5.0	Latin America and the Caribbean	2015	F	Female	29.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	328	Guyana	GUY	-59.0	5.0	Latin America and the Caribbean	2013	F	Female	25.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	328	Guyana	GUY	-59.0	5.0	Latin America and the Caribbean	2012	F	Female	24.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	328	Guyana	GUY	-59.0	5.0	Latin America and the Caribbean	2011	F	Female	23.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	328	Guyana	GUY	-59.0	5.0	Latin America and the Caribbean	2010	F	Female	24.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2014	F	Female	13.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2013	F	Female	13.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2012	F	Female	12.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2011	F	Female	12.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2010	F	Female	11.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2009	F	Female	12.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2008	F	Female	11.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2007	F	Female	11.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2006	F	Female	10.0	PT	Percent	C	Country Data	G	Global	2017
46	46	Share of female police officers	75	Share of female police officers	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2005	F	Female	11.0	PT	Percent	C	Country Data	G	Global	2017
