INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	DISABILITY_STATUS	DISABILITY_STATUS_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2008	F	Female	_X	Not Available or not specified	PWD	Persons without disability	25.5	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old | Break in series: Methodology revised	OE - Official Estimates	2021	1800	SL_TLF_UEMDIS			SEX__AGE__DISABILITY_STATUS	F___X__PWD	Female, not available or not specified, persons without disability	False
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2014	F	Female	_X	Not Available or not specified	PWD	Persons without disability	19.5	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old | Break in series: Methodology revised	LFS - Labour force survey	2021	1800	SL_TLF_UEMDIS			SEX__AGE__DISABILITY_STATUS	F___X__PWD	Female, not available or not specified, persons without disability	False
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2015	F	Female	_X	Not Available or not specified	PWD	Persons without disability	19.4	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old	LFS - Labour force survey	2021	1800	SL_TLF_UEMDIS			SEX__AGE__DISABILITY_STATUS	F___X__PWD	Female, not available or not specified, persons without disability	False
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2016	F	Female	_X	Not Available or not specified	PWD	Persons without disability	17.5	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old	LFS - Labour force survey	2021	1800	SL_TLF_UEMDIS			SEX__AGE__DISABILITY_STATUS	F___X__PWD	Female, not available or not specified, persons without disability	False
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2017	F	Female	_X	Not Available or not specified	PWD	Persons without disability	17.9	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old	LFS - EU Labour Force Survey	2021	1800	SL_TLF_UEMDIS			SEX__AGE__DISABILITY_STATUS	F___X__PWD	Female, not available or not specified, persons without disability	False
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2018	F	Female	_X	Not Available or not specified	PWD	Persons without disability	20.7	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old	LFS - EU Labour Force Survey	2021	1800	SL_TLF_UEMDIS			SEX__AGE__DISABILITY_STATUS	F___X__PWD	Female, not available or not specified, persons without disability	True
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2008	M	Male	_X	Not Available or not specified	PWD	Persons without disability	20.6	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old | Break in series: Methodology revised	PC - Population census	2021	1800	SL_TLF_UEMDIS			SEX__AGE__DISABILITY_STATUS	M___X__PWD	Male, not available or not specified, persons without disability	False
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2014	M	Male	_X	Not Available or not specified	PWD	Persons without disability	15.6	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old | Break in series: Methodology revised	PC - Population census	2021	1800	SL_TLF_UEMDIS			SEX__AGE__DISABILITY_STATUS	M___X__PWD	Male, not available or not specified, persons without disability	False
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2015	M	Male	_X	Not Available or not specified	PWD	Persons without disability	17.4	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old	LFS - Labour force survey	2021	1800	SL_TLF_UEMDIS			SEX__AGE__DISABILITY_STATUS	M___X__PWD	Male, not available or not specified, persons without disability	False
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2016	M	Male	_X	Not Available or not specified	PWD	Persons without disability	17.6	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old	LFS - Labour force survey	2021	1800	SL_TLF_UEMDIS			SEX__AGE__DISABILITY_STATUS	M___X__PWD	Male, not available or not specified, persons without disability	False
