INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
II.1	If1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	Sf1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2000	_T	Both sexes or no breakdown by sex	54.07937	PT	Percent	C	Country Data	G	Global	2021	3200	SE_PRE_PARTN			SEX	_T	Both sexes or no breakdown by sex	False
II.1	If1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	Sf1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2001	_T	Both sexes or no breakdown by sex	56.59373	PT	Percent	C	Country Data	G	Global	2021	3200	SE_PRE_PARTN			SEX	_T	Both sexes or no breakdown by sex	False
II.1	If1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	Sf1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2003	_T	Both sexes or no breakdown by sex	63.70377	PT	Percent	C	Country Data	G	Global	2021	3200	SE_PRE_PARTN			SEX	_T	Both sexes or no breakdown by sex	False
II.1	If1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	Sf1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2004	_T	Both sexes or no breakdown by sex	60.75647	PT	Percent	C	Country Data	G	Global	2021	3200	SE_PRE_PARTN			SEX	_T	Both sexes or no breakdown by sex	False
II.1	If1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	Sf1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2008	_T	Both sexes or no breakdown by sex	65.03185	PT	Percent	C	Country Data	G	Global	2021	3200	SE_PRE_PARTN			SEX	_T	Both sexes or no breakdown by sex	False
II.1	If1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	Sf1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2009	_T	Both sexes or no breakdown by sex	72.28605	PT	Percent	C	Country Data	G	Global	2021	3200	SE_PRE_PARTN			SEX	_T	Both sexes or no breakdown by sex	False
II.1	If1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	Sf1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2010	_T	Both sexes or no breakdown by sex	74.16339	PT	Percent	C	Country Data	G	Global	2021	3200	SE_PRE_PARTN			SEX	_T	Both sexes or no breakdown by sex	False
II.1	If1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	Sf1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	_T	Both sexes or no breakdown by sex	78.8836	PT	Percent	C	Country Data	G	Global	2021	3200	SE_PRE_PARTN			SEX	_T	Both sexes or no breakdown by sex	False
II.1	If1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	Sf1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2012	_T	Both sexes or no breakdown by sex	84.94154	PT	Percent	C	Country Data	G	Global	2021	3200	SE_PRE_PARTN			SEX	_T	Both sexes or no breakdown by sex	False
II.1	If1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	Sf1e8239d	Participation rate in organized learning (one year before the official primary entry age), by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2013	_T	Both sexes or no breakdown by sex	86.70171	PT	Percent	C	Country Data	G	Global	2021	3200	SE_PRE_PARTN			SEX	_T	Both sexes or no breakdown by sex	False
