INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
I.4	I8bd915c9	Proportion of employed who are own-account workers, by sex	S8bd915c9	Proportion of employed who are own-account workers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2008	F	Female	21.6	PT	Percent	C	Country Data	G	Global	Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing	HIES - Living Conditions Survey	2021	700		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.4	I8bd915c9	Proportion of employed who are own-account workers, by sex	S8bd915c9	Proportion of employed who are own-account workers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2012	F	Female	47.3	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	HIES - Living Conditions Survey	2021	700		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.4	I8bd915c9	Proportion of employed who are own-account workers, by sex	S8bd915c9	Proportion of employed who are own-account workers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2014	F	Female	8.9	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	HIES - Living Conditions Survey	2021	700		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.4	I8bd915c9	Proportion of employed who are own-account workers, by sex	S8bd915c9	Proportion of employed who are own-account workers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2017	F	Female	22.5	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	HIES - Living Conditions Survey	2021	700		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.4	I8bd915c9	Proportion of employed who are own-account workers, by sex	S8bd915c9	Proportion of employed who are own-account workers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2020	F	Female	30.6	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	700		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	True
I.4	I8bd915c9	Proportion of employed who are own-account workers, by sex	S8bd915c9	Proportion of employed who are own-account workers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2007	F	Female	20.7	PT	Percent	C	Country Data	G	Global	Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	700		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.4	I8bd915c9	Proportion of employed who are own-account workers, by sex	S8bd915c9	Proportion of employed who are own-account workers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2009	F	Female	19.6	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	700		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.4	I8bd915c9	Proportion of employed who are own-account workers, by sex	S8bd915c9	Proportion of employed who are own-account workers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2011	F	Female	20.7	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	700		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.4	I8bd915c9	Proportion of employed who are own-account workers, by sex	S8bd915c9	Proportion of employed who are own-account workers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2012	F	Female	16.7	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	700		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.4	I8bd915c9	Proportion of employed who are own-account workers, by sex	S8bd915c9	Proportion of employed who are own-account workers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2013	F	Female	16.5	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	700		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
