INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	TIME_DETAIL	SEX	SEX_DESC	ICT_SKILL	ICT_SKILL_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2019	2019	_T	Both sexes or no breakdown by sex	CMFL	Copying or moving a file or folder	16.12054	PT	Percent	C	Country Data	G	Global		Institute of Statistics	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__CMFL	Both sexes or no breakdown by sex, copying or moving a file or folder	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2019	2019	_T	Both sexes or no breakdown by sex	COPA	Using copy and paste tools to duplicate or move information within a document	16.12054	PT	Percent	C	Country Data	G	Global		INSTAT (Institute of Statistics)	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__COPA	Both sexes or no breakdown by sex, using copy and paste tools to duplicate or move information within a document	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2019	2019	_T	Both sexes or no breakdown by sex	EPRS	Creating electronic presentations with presentation software	9.0473	PT	Percent	C	Country Data	G	Global		INSTAT (Institute of Statistics)	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__EPRS	Both sexes or no breakdown by sex, creating electronic presentations with presentation software	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2019	2019	_T	Both sexes or no breakdown by sex	TRAF	Transferring files between a computer and other devices	19.99063	PT	Percent	C	Country Data	G	Global		INSTAT (Institute of Statistics)	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__TRAF	Both sexes or no breakdown by sex, transferring files between a computer and other devices	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2019	2019	_T	Both sexes or no breakdown by sex	SOFT	Finding, downloading, installing and configuring software	13.89042	PT	Percent	C	Country Data	G	Global		INSTAT (Institute of Statistics)	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__SOFT	Both sexes or no breakdown by sex, finding, downloading, installing and configuring software	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2019	2019	_T	Both sexes or no breakdown by sex	PCPR	Writing a computer program using a specialized programming language	1.56061	PT	Percent	C	Country Data	G	Global		INSTAT (Institute of Statistics)	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__PCPR	Both sexes or no breakdown by sex, writing a computer program using a specialized programming language	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	COPA	Using copy and paste tools to duplicate or move information within a document	17.72001	PT	Percent	C	Country Data	G	Global		Ministry of Post, Telecommunications, Technologies and Digital	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__COPA	Both sexes or no breakdown by sex, using copy and paste tools to duplicate or move information within a document	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	PCPR	Writing a computer program using a specialized programming language	6.89336	PT	Percent	C	Country Data	G	Global		Ministry of Post, Telecommunications, Technologies and Digital	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__PCPR	Both sexes or no breakdown by sex, writing a computer program using a specialized programming language	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	EMAIL	Sending e-mails with attached files	16.14774	PT	Percent	C	Country Data	G	Global		Ministry of Post, Telecommunications, Technologies and Digital	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__EMAIL	Both sexes or no breakdown by sex, sending e-mails with attached files	True
II.10	Ib6932825	Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill	S01912ae8	Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	SOFT	Finding, downloading, installing and configuring software	15.54998	PT	Percent	C	Country Data	G	Global		Ministry of Post, Telecommunications, Technologies and Digital	2021	5000	SE_ADT_ACTS			SEX__ICT_SKILL	_T__SOFT	Both sexes or no breakdown by sex, finding, downloading, installing and configuring software	True
