INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE_MODIFIER	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	LOWER_BOUND_MODIFIER	LOWER_BOUND	UPPER_BOUND_MODIFIER	UPPER_BOUND	SOURCE_YEAR	isLatestValue
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2018	F	Female		12	PT	Percent	E	Estimated	G	Global		7.0		19.0	2019	True
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2000	F	Female	<	1	PT	Percent	E	Estimated	G	Global	<	1.0	<	1.0	2019	False
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2010	F	Female	<	1	PT	Percent	E	Estimated	G	Global	<	1.0		2.0	2019	False
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2018	M	Male		13	PT	Percent	E	Estimated	G	Global		7.0		21.0	2019	True
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2000	M	Male	<	1	PT	Percent	E	Estimated	G	Global	<	1.0	<	1.0	2019	False
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2010	M	Male	<	1	PT	Percent	E	Estimated	G	Global	<	1.0		2.0	2019	False
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018	F	Female		83	PT	Percent	E	Estimated	G	Global		78.0		88.0	2019	True
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2000	F	Female		9	PT	Percent	E	Estimated	G	Global		8.0		9.0	2019	False
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2010	F	Female		35	PT	Percent	E	Estimated	G	Global		33.0		38.0	2019	False
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018	M	Male		74	PT	Percent	E	Estimated	G	Global		66.0		81.0	2019	True
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2000	M	Male		9	PT	Percent	E	Estimated	G	Global		8.0		9.0	2019	False
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2010	M	Male		27	PT	Percent	E	Estimated	G	Global		24.0		30.0	2019	False
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	24	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	2018	F	Female		27	PT	Percent	E	Estimated	G	Global		24.0		32.0	2019	True
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	24	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	2000	F	Female	<	1	PT	Percent	E	Estimated	G	Global	<	1.0	<	1.0	2019	False
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	24	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	2010	F	Female		10	PT	Percent	E	Estimated	G	Global		8.0		11.0	2019	False
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	24	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	2018	M	Male		30	PT	Percent	E	Estimated	G	Global		26.0		36.0	2019	True
40	40	Access to anti-retroviral drug, by sex	34	Access to anti-retroviral drug, by sex	24	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	2000	M	Male	<	1	PT	Percent	E	Estimated	G	Global	<	1.0	<	1.0	2019	False
