INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	TIME_DETAIL	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_YEAR	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
III.1	97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	ad5532a0	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods: estimates	450	Madagascar	MDG	46.6982339	-19.38514785	Sub-Saharan Africa	2000		F	Female	Y15T49	15 to 49 years old	27.6	PT	Percent	E	Estimated	G	Global	MEDIAN ESTIMATE (adjusted)		2017	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	False
III.1	97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	ad5532a0	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods: estimates	450	Madagascar	MDG	46.6982339	-19.38514785	Sub-Saharan Africa	2001		F	Female	Y15T49	15 to 49 years old	29.6	PT	Percent	E	Estimated	G	Global	MEDIAN ESTIMATE (adjusted)		2017	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	False
III.1	97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	ad5532a0	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods: estimates	450	Madagascar	MDG	46.6982339	-19.38514785	Sub-Saharan Africa	2002		F	Female	Y15T49	15 to 49 years old	31.6	PT	Percent	E	Estimated	G	Global	MEDIAN ESTIMATE (adjusted)		2017	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	False
III.1	97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	ad5532a0	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods: estimates	450	Madagascar	MDG	46.6982339	-19.38514785	Sub-Saharan Africa	2003		F	Female	Y15T49	15 to 49 years old	33.7	PT	Percent	E	Estimated	G	Global	MEDIAN ESTIMATE (adjusted)		2017	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	False
III.1	97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	ad5532a0	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods: estimates	450	Madagascar	MDG	46.6982339	-19.38514785	Sub-Saharan Africa	2004		F	Female	Y15T49	15 to 49 years old	35.8	PT	Percent	E	Estimated	G	Global	MEDIAN ESTIMATE (adjusted)		2017	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	False
III.1	97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	ad5532a0	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods: estimates	450	Madagascar	MDG	46.6982339	-19.38514785	Sub-Saharan Africa	2005		F	Female	Y15T49	15 to 49 years old	38.6	PT	Percent	E	Estimated	G	Global	MEDIAN ESTIMATE (adjusted)		2017	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	False
III.1	97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	ad5532a0	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods: estimates	450	Madagascar	MDG	46.6982339	-19.38514785	Sub-Saharan Africa	2006		F	Female	Y15T49	15 to 49 years old	41.2	PT	Percent	E	Estimated	G	Global	MEDIAN ESTIMATE (adjusted)		2017	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	False
III.1	97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	ad5532a0	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods: estimates	450	Madagascar	MDG	46.6982339	-19.38514785	Sub-Saharan Africa	2007		F	Female	Y15T49	15 to 49 years old	43.9	PT	Percent	E	Estimated	G	Global	MEDIAN ESTIMATE (adjusted)		2017	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	False
III.1	97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	ad5532a0	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods: estimates	450	Madagascar	MDG	46.6982339	-19.38514785	Sub-Saharan Africa	2008		F	Female	Y15T49	15 to 49 years old	46.6	PT	Percent	E	Estimated	G	Global	MEDIAN ESTIMATE (adjusted)		2017	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	False
III.1	97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	ad5532a0	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods: estimates	450	Madagascar	MDG	46.6982339	-19.38514785	Sub-Saharan Africa	2009		F	Female	Y15T49	15 to 49 years old	49.3	PT	Percent	E	Estimated	G	Global	MEDIAN ESTIMATE (adjusted)		2017	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	False
