INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	324	Guinea	GIN	-10.0	11.0	Sub-Saharan Africa	2014	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	46.3	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	True
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	324	Guinea	GIN	-10.0	11.0	Sub-Saharan Africa	2010	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	31.41	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	False
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	324	Guinea	GIN	-10.0	11.0	Sub-Saharan Africa	2003	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	47.09	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	False
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	324	Guinea	GIN	-10.0	11.0	Sub-Saharan Africa	1996	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	27.72	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	False
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2014	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	94.35	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	True
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2013	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	91.85	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	False
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2012	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	93.65	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	False
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	2002	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	82.22	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	False
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	320	Guatemala	GTM	-90.25	15.5	Latin America and the Caribbean	1994	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	75.99	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	False
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	308	Grenada	GRD	-61.66666666	12.11666666	Latin America and the Caribbean	1970	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	98.96	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	True
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	304	Greenland	GRL	-40.0	72.0	Europe and Northern America	2015	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	100.0	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	True
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	300	Greece	GRC	22.0	39.0	Europe and Northern America	2011	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	98.69	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	True
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	300	Greece	GRC	22.0	39.0	Europe and Northern America	2009	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	99.49	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	False
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	300	Greece	GRC	22.0	39.0	Europe and Northern America	2007	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	99.56	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	False
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	300	Greece	GRC	22.0	39.0	Europe and Northern America	2005	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	99.53	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	False
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	300	Greece	GRC	22.0	39.0	Europe and Northern America	2001	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	98.94	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	False
II.1	I2e391327	Youth literacy rate of persons aged 15-24 years, by sex	Sed7f11c7	Youth literacy rate of persons (15-24 years), by sex	300	Greece	GRC	22.0	39.0	Europe and Northern America	1991	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	98.98	PT	Percent	C	Country Data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:22:28	2017	3200			LR_Ag15t24, LR_Ag15t24_F, LR_Ag15t24_M, LR_Ag15t24_gpia	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	False
