INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S216a2120	Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2001	_T	Both sexes or no breakdown by sex	AGG_4T8	Post-secondary (ISCED 4) or higher	4.20865	PT	Percent	C	Country Data	G	Global	2021	5400			EA_4t8_AG25t99, EA_4t8_AG25t99_F, EA_4t8_AG25t99_M, EA_4t8_AG25t99_gpia	SEX__EDUCATION_LEV	_T__AGG_4T8	Both sexes or no breakdown by sex, post-secondary (isced 4) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S216a2120	Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2011	_T	Both sexes or no breakdown by sex	AGG_4T8	Post-secondary (ISCED 4) or higher	10.24576	PT	Percent	C	Country Data	G	Global	2021	5400			EA_4t8_AG25t99, EA_4t8_AG25t99_F, EA_4t8_AG25t99_M, EA_4t8_AG25t99_gpia	SEX__EDUCATION_LEV	_T__AGG_4T8	Both sexes or no breakdown by sex, post-secondary (isced 4) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S216a2120	Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2012	_T	Both sexes or no breakdown by sex	AGG_4T8	Post-secondary (ISCED 4) or higher	10.50721	PT	Percent	C	Country Data	G	Global	2021	5400			EA_4t8_AG25t99, EA_4t8_AG25t99_F, EA_4t8_AG25t99_M, EA_4t8_AG25t99_gpia	SEX__EDUCATION_LEV	_T__AGG_4T8	Both sexes or no breakdown by sex, post-secondary (isced 4) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S216a2120	Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2013	_T	Both sexes or no breakdown by sex	AGG_4T8	Post-secondary (ISCED 4) or higher	9.41856	PT	Percent	C	Country Data	G	Global	2021	5400			EA_4t8_AG25t99, EA_4t8_AG25t99_F, EA_4t8_AG25t99_M, EA_4t8_AG25t99_gpia	SEX__EDUCATION_LEV	_T__AGG_4T8	Both sexes or no breakdown by sex, post-secondary (isced 4) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S216a2120	Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2014	_T	Both sexes or no breakdown by sex	AGG_4T8	Post-secondary (ISCED 4) or higher	10.28951	PT	Percent	C	Country Data	G	Global	2021	5400			EA_4t8_AG25t99, EA_4t8_AG25t99_F, EA_4t8_AG25t99_M, EA_4t8_AG25t99_gpia	SEX__EDUCATION_LEV	_T__AGG_4T8	Both sexes or no breakdown by sex, post-secondary (isced 4) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S216a2120	Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2015	_T	Both sexes or no breakdown by sex	AGG_4T8	Post-secondary (ISCED 4) or higher	13.99098	PT	Percent	C	Country Data	G	Global	2021	5400			EA_4t8_AG25t99, EA_4t8_AG25t99_F, EA_4t8_AG25t99_M, EA_4t8_AG25t99_gpia	SEX__EDUCATION_LEV	_T__AGG_4T8	Both sexes or no breakdown by sex, post-secondary (isced 4) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S216a2120	Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2016	_T	Both sexes or no breakdown by sex	AGG_4T8	Post-secondary (ISCED 4) or higher	14.34732	PT	Percent	C	Country Data	G	Global	2021	5400			EA_4t8_AG25t99, EA_4t8_AG25t99_F, EA_4t8_AG25t99_M, EA_4t8_AG25t99_gpia	SEX__EDUCATION_LEV	_T__AGG_4T8	Both sexes or no breakdown by sex, post-secondary (isced 4) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S216a2120	Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2017	_T	Both sexes or no breakdown by sex	AGG_4T8	Post-secondary (ISCED 4) or higher	14.92366	PT	Percent	C	Country Data	G	Global	2021	5400			EA_4t8_AG25t99, EA_4t8_AG25t99_F, EA_4t8_AG25t99_M, EA_4t8_AG25t99_gpia	SEX__EDUCATION_LEV	_T__AGG_4T8	Both sexes or no breakdown by sex, post-secondary (isced 4) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S216a2120	Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2018	_T	Both sexes or no breakdown by sex	AGG_4T8	Post-secondary (ISCED 4) or higher	15.5678	PT	Percent	C	Country Data	G	Global	2021	5400			EA_4t8_AG25t99, EA_4t8_AG25t99_F, EA_4t8_AG25t99_M, EA_4t8_AG25t99_gpia	SEX__EDUCATION_LEV	_T__AGG_4T8	Both sexes or no breakdown by sex, post-secondary (isced 4) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S216a2120	Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2019	_T	Both sexes or no breakdown by sex	AGG_4T8	Post-secondary (ISCED 4) or higher	16.20527	PT	Percent	C	Country Data	G	Global	2021	5400			EA_4t8_AG25t99, EA_4t8_AG25t99_F, EA_4t8_AG25t99_M, EA_4t8_AG25t99_gpia	SEX__EDUCATION_LEV	_T__AGG_4T8	Both sexes or no breakdown by sex, post-secondary (isced 4) or higher	True
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S216a2120	Educational attainment (minimum post-secondary) of the population aged 25 and older, by sex	218	Ecuador	ECU	-78.37005241	-1.447785891	Latin America and the Caribbean	1990	_T	Both sexes or no breakdown by sex	AGG_4T8	Post-secondary (ISCED 4) or higher	15.7373	PT	Percent	C	Country Data	G	Global	2021	5400			EA_4t8_AG25t99, EA_4t8_AG25t99_F, EA_4t8_AG25t99_M, EA_4t8_AG25t99_gpia	SEX__EDUCATION_LEV	_T__AGG_4T8	Both sexes or no breakdown by sex, post-secondary (isced 4) or higher	False
