INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	VALUE_CATEGORY	VALUE_CATEGORY_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2017	15	At least 66.6%	C	Country Data	G	Global	100 Percent.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2017	35	Other	C	Country Data	G	Global	Albania: 80%, 50%.; 80% for the period prior to birth and for 150 days after birth, and 50% for the rest of the leave period. In addition to the maternity benefit, a birth grant consisting of a lump sum of 50% of the legal monthly minimum wage is paid to either insured parent with at least one year of contributions.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2017	15	At least 66.6%	C	Country Data	G	Global	100 Percent.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2017	15	At least 66.6%	C	Country Data	G	Global	100 Percent.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	24	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	2017	15	At least 66.6%	C	Country Data	G	Global	100 Percent.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	28	Antigua and Barbuda	ATG	-61.7999755	17.07761471	Latin America and the Caribbean	2017	35	Other	C	Country Data	G	Global	Antigua and Barbuda: 100%, 60%.; Social insurance (60% for 13 weeks) and employer (40% for the first six weeks).	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	32	Argentina	ARG	-65.14563274	-35.19446255	Latin America and the Caribbean	2017	15	At least 66.6%	C	Country Data	G	Global	100 Percent.; In addition, a means-tested birth grant of ARS 975 is paid as a lump sum.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2017	15	At least 66.6%	C	Country Data	G	Global	100 Percent.; In addition, a non-contributory maternity allowance of 50% of the legal monthly minimum wage divided by 30.4 and multiplied by 140 is paid for 140 days to unemployed pregnant mothers. ; Up to a ceiling.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	36	Australia	AUS	134.3499412	-25.57717202	Australia and New Zealand	2017	35	Other	C	Country Data	G	Global	Flat rate; Duration: a single parental leave system provides 52 weeks, which may be shared between the parents. The mother may take six weeks of pre-natal leave. Level of benefit: 18 weeks paid at the federal minimum wage level (AUD $672.60 pera week as of April 2017). A newborn upfront payment and newborn supplement is also paid to parents eligible for the family tax benefit.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2017	15	At least 66.6%	C	Country Data	G	Global	100 Percent.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2017	15	At least 66.6%	C	Country Data	G	Global	100 Percent.; For women working in the agricultural sector, the benefit is paid for 70 days before and 70 days after the expected date of childbirth; for all other covered women, 70 days before and 56 days after expected date of childbirth. In addition, a lump sum non-contributory birth grant of AZN 99 manat is paid.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	44	Bahamas	BHS	-78.05111663	24.69546597	Latin America and the Caribbean	2017	15	At least 66.6%	C	Country Data	G	Global	100 Percent.; In addition, a birth grant of BSD 465 is paid as a lump sum.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	48	Bahrain	BHR	50.5490754	26.04407747	Northern Africa and Western Asia	2017	15	At least 66.6%	C	Country Data	G	Global	100 Percent.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2017	15	At least 66.6%	C	Country Data	G	Global	100 Percent.; Unpaid leave is provided for the third and subsequent births.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	52	Barbados	BRB	-59.5346489	13.13648273	Latin America and the Caribbean	2017	15	At least 66.6%	C	Country Data	G	Global	100 Percent.; Women who are ineligible for the maternity benefit receive a maternity grant consisting of a lump sum of BBD 1,150.	2021	9500							True
QI.4	Ia4f411bc	Percentage of wages paid during maternity leave	Sa4f411bc	Percentage of wages paid during maternity leave	112	Belarus	BLR	28.04940161	53.54193075	Europe and Northern America	2017	15	At least 66.6%	C	Country Data	G	Global	100 Percent.; Not less than 50% of the minimum wage (as of November 2016: BYR 132,609). For students, the maternity cash benefit is 100% of the education grant when on leave from employment; 100% of the unemployment benefit for unemployed women. In addition, a prenatal care grant is paid as a lump sum of the average subsistence income level before the date of birth.; Up to a ceiling.	2021	9500							True
