INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_YEAR	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	9	Oceania					2003	F	Female	98.4	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	9	Oceania					2009	F	Female	98.1	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	9	Oceania					2018	F	Female	96.7	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	True
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	15	Northern Africa				Northern Africa and Western Asia	2003	F	Female	67.6	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	15	Northern Africa				Northern Africa and Western Asia	2009	F	Female	77.8	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	15	Northern Africa				Northern Africa and Western Asia	2018	F	Female	90.4	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	True
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	21	Northern America				Europe and Northern America	2003	F	Female	99.3	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	21	Northern America				Europe and Northern America	2009	F	Female	99.2	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	21	Northern America				Europe and Northern America	2018	F	Female	99.0	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	True
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	30	Eastern Asia				Eastern and South-Eastern Asia	2003	F	Female	96.3	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	30	Eastern Asia				Eastern and South-Eastern Asia	2009	F	Female	99.4	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	30	Eastern Asia				Eastern and South-Eastern Asia	2018	F	Female	99.9	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	True
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	34	Southern Asia				Central and Southern Asia	2003	F	Female	38.0	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	34	Southern Asia				Central and Southern Asia	2009	F	Female	49.4	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	34	Southern Asia				Central and Southern Asia	2018	F	Female	78.0	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	True
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	35	South-Eastern Asia				Eastern and South-Eastern Asia	2003	F	Female	67.9	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	35	South-Eastern Asia				Eastern and South-Eastern Asia	2009	F	Female	75.1	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	35	South-Eastern Asia				Eastern and South-Eastern Asia	2018	F	Female	89.0	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	True
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	53	Australia and New Zealand				Australia and New Zealand	2003	F	Female	99.1	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	53	Australia and New Zealand				Australia and New Zealand	2009	F	Female	98.7	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	53	Australia and New Zealand				Australia and New Zealand	2018	F	Female	96.9	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	True
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	62	Central and Southern Asia				Central and Southern Asia	2003	F	Female	39.8	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	62	Central and Southern Asia				Central and Southern Asia	2009	F	Female	51.2	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	False
III.5	784515d6	Proportion of births attended by skilled health personnel	784515d6	Proportion of births attended by skilled health personnel	62	Central and Southern Asia				Central and Southern Asia	2018	F	Female	78.8	PT	Percent	E	Estimated	G	Global			2019	SEX	F	Female	True
