INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_YEAR
3	3	Labour force participation rates for persons aged 15-24 and 15+, by sex	1	Labour force participation rate for persons aged 15-24, by sex	76	Brazil	BRA	-55.0	-10.0	Latin America and the Caribbean	2010	_T	Both sexes or no breakdown by sex	Y_GE10	10 years old and over	54.83	PT	Percent	C	Country data	G	Global	Geographical coverage: Main cities or metropolitan areas	2017
3	3	Labour force participation rates for persons aged 15-24 and 15+, by sex	1	Labour force participation rate for persons aged 15-24, by sex	170	Colombia	COL	-72.0	4.0	Latin America and the Caribbean	2006	_T	Both sexes or no breakdown by sex	Y_GE10	10 years old and over	54.54	PT	Percent	C	Country data	G	Global		2017
3	3	Labour force participation rates for persons aged 15-24 and 15+, by sex	1	Labour force participation rate for persons aged 15-24, by sex	170	Colombia	COL	-72.0	4.0	Latin America and the Caribbean	2006	F	Female	Y_GE10	10 years old and over	44.95	PT	Percent	C	Country data	G	Global		2017
3	3	Labour force participation rates for persons aged 15-24 and 15+, by sex	1	Labour force participation rate for persons aged 15-24, by sex	170	Colombia	COL	-72.0	4.0	Latin America and the Caribbean	2006	M	Male	Y_GE10	10 years old and over	64.23	PT	Percent	C	Country data	G	Global		2017
3	3	Labour force participation rates for persons aged 15-24 and 15+, by sex	1	Labour force participation rate for persons aged 15-24, by sex	748	Eswatini	SWZ	31.5	-26.5	Sub-Saharan Africa	1997	_T	Both sexes or no breakdown by sex	Y_GE12	12 years old and over	30.5	PT	Percent	C	Country data	G	Global		2017
3	3	Labour force participation rates for persons aged 15-24 and 15+, by sex	1	Labour force participation rate for persons aged 15-24, by sex	748	Eswatini	SWZ	31.5	-26.5	Sub-Saharan Africa	1997	F	Female	Y_GE12	12 years old and over	27.5	PT	Percent	C	Country data	G	Global		2017
3	3	Labour force participation rates for persons aged 15-24 and 15+, by sex	1	Labour force participation rate for persons aged 15-24, by sex	748	Eswatini	SWZ	31.5	-26.5	Sub-Saharan Africa	1997	M	Male	Y_GE12	12 years old and over	33.9	PT	Percent	C	Country data	G	Global		2017
3	3	Labour force participation rates for persons aged 15-24 and 15+, by sex	1	Labour force participation rate for persons aged 15-24, by sex	740	Suriname	SUR	-56.0	4.0	Latin America and the Caribbean	1994	_T	Both sexes or no breakdown by sex	Y_GE14	14 years old and over	30.58	PT	Percent	C	Country data	G	Global		2017
3	3	Labour force participation rates for persons aged 15-24 and 15+, by sex	1	Labour force participation rate for persons aged 15-24, by sex	740	Suriname	SUR	-56.0	4.0	Latin America and the Caribbean	1994	F	Female	Y_GE14	14 years old and over	17.99	PT	Percent	C	Country data	G	Global		2017
3	3	Labour force participation rates for persons aged 15-24 and 15+, by sex	1	Labour force participation rate for persons aged 15-24, by sex	740	Suriname	SUR	-56.0	4.0	Latin America and the Caribbean	1994	M	Male	Y_GE14	14 years old and over	42.96	PT	Percent	C	Country data	G	Global		2017
