INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	SEX	SEX_DESC	TIME_PERIOD	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	F	Female	2008	0.1	PT	Percent	C	Country Data	G	Global	Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing	HIES - Living Conditions Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	F	Female	2012	0.3	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	HIES - Living Conditions Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	F	Female	2014	1.8	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	HIES - Living Conditions Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	F	Female	2017	2.2	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	HIES - Living Conditions Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	F	Female	2020	0.7	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	True
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2007	0.9	PT	Percent	C	Country Data	G	Global	Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2009	0.3	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2011	1.2	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2012	1.0	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2013	1.1	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2014	0.6	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2015	1.0	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2016	1.3	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2017	1.5	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2018	1.3	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	F	Female	2019	1.1	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	True
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	F	Female	2001	1.9	PT	Percent	C	Country Data	G	Global	Data reference period: September	LFS - Enquête Emploi auprès des Ménages	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	F	Female	2003	1.8	PT	Percent	C	Country Data	G	Global	Data reference period: September	LFS - Enquête Emploi auprès des Ménages	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	F	Female	2011	1.5	PT	Percent	C	Country Data	G	Global	Data reference period: Fourth quarter	LFS - Enquête Emploi auprès des Ménages	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	F	Female	2013	1.9	PT	Percent	C	Country Data	G	Global	Break in series: Methodology revised, Data reference period: September	LFS - Enquête Emploi auprès des Ménages	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	F	Female	2017	2.1	PT	Percent	C	Country Data	G	Global	Data reference period: September	LFS - Enquête Emploi auprès des Ménages	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	True
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	24	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	F	Female	2009	1.5	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	HIES - Questionnaire sur les Indicateurs de Base du Bien-être	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	24	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	F	Female	2011	2.5	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	HIES - Questionnaire sur les Indicateurs de Base du Bien-être	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	24	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	F	Female	2014	3.4	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing	PC - Recensements de Population	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	True
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	28	Antigua and Barbuda	ATG	-61.7999755	17.07761471	Latin America and the Caribbean	F	Female	1991	2.3	PT	Percent	C	Country Data	G	Global		PC - Population Census	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	True
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	F	Female	2000	10.3	PT	Percent	C	Country Data	G	Global	Data reference period: End of the year Population coverage: Excluding armed forces and/or conscripts	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
I.6	Ic273120e	Proportion of employed who are employers, by sex	Sc273120e	Proportion of employed who are employers, by sex	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	F	Female	2001	10.0	PT	Percent	C	Country Data	G	Global	Data reference period: End of the year Population coverage: Excluding armed forces and/or conscripts	LFS - Labour Force Survey	2021	900		EMP_2EMP_SEX_STE_NB_A		SEX	F	Female	False
