INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S42192176	Educational attainment (minimum lower secondary) of the population aged 25 and older, by sex	600	Paraguay	PRY	-60.54854225	-21.70216237	Latin America and the Caribbean	1992	_T	Both sexes or no breakdown by sex	AGG_2T8	Lower secondary (ISCED 2) or higher	27.32615	PT	Percent	C	Country Data	G	Global	2021	5200			EA_2t8_AG25t99, EA_2t8_AG25t99_F, EA_2t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_2T8	Both sexes or no breakdown by sex, lower secondary (isced 2) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S42192176	Educational attainment (minimum lower secondary) of the population aged 25 and older, by sex	600	Paraguay	PRY	-60.54854225	-21.70216237	Latin America and the Caribbean	2003	_T	Both sexes or no breakdown by sex	AGG_2T8	Lower secondary (ISCED 2) or higher	34.87414	PT	Percent	C	Country Data	G	Global	2021	5200			EA_2t8_AG25t99, EA_2t8_AG25t99_F, EA_2t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_2T8	Both sexes or no breakdown by sex, lower secondary (isced 2) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S42192176	Educational attainment (minimum lower secondary) of the population aged 25 and older, by sex	600	Paraguay	PRY	-60.54854225	-21.70216237	Latin America and the Caribbean	2005	_T	Both sexes or no breakdown by sex	AGG_2T8	Lower secondary (ISCED 2) or higher	41.73162	PT	Percent	C	Country Data	G	Global	2021	5200			EA_2t8_AG25t99, EA_2t8_AG25t99_F, EA_2t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_2T8	Both sexes or no breakdown by sex, lower secondary (isced 2) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S42192176	Educational attainment (minimum lower secondary) of the population aged 25 and older, by sex	600	Paraguay	PRY	-60.54854225	-21.70216237	Latin America and the Caribbean	2006	_T	Both sexes or no breakdown by sex	AGG_2T8	Lower secondary (ISCED 2) or higher	38.75701	PT	Percent	C	Country Data	G	Global	2021	5200			EA_2t8_AG25t99, EA_2t8_AG25t99_F, EA_2t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_2T8	Both sexes or no breakdown by sex, lower secondary (isced 2) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S42192176	Educational attainment (minimum lower secondary) of the population aged 25 and older, by sex	600	Paraguay	PRY	-60.54854225	-21.70216237	Latin America and the Caribbean	2007	_T	Both sexes or no breakdown by sex	AGG_2T8	Lower secondary (ISCED 2) or higher	36.95869	PT	Percent	C	Country Data	G	Global	2021	5200			EA_2t8_AG25t99, EA_2t8_AG25t99_F, EA_2t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_2T8	Both sexes or no breakdown by sex, lower secondary (isced 2) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S42192176	Educational attainment (minimum lower secondary) of the population aged 25 and older, by sex	600	Paraguay	PRY	-60.54854225	-21.70216237	Latin America and the Caribbean	2008	_T	Both sexes or no breakdown by sex	AGG_2T8	Lower secondary (ISCED 2) or higher	38.7951	PT	Percent	C	Country Data	G	Global	2021	5200			EA_2t8_AG25t99, EA_2t8_AG25t99_F, EA_2t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_2T8	Both sexes or no breakdown by sex, lower secondary (isced 2) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S42192176	Educational attainment (minimum lower secondary) of the population aged 25 and older, by sex	600	Paraguay	PRY	-60.54854225	-21.70216237	Latin America and the Caribbean	2009	_T	Both sexes or no breakdown by sex	AGG_2T8	Lower secondary (ISCED 2) or higher	32.92856	PT	Percent	C	Country Data	G	Global	2021	5200			EA_2t8_AG25t99, EA_2t8_AG25t99_F, EA_2t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_2T8	Both sexes or no breakdown by sex, lower secondary (isced 2) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S42192176	Educational attainment (minimum lower secondary) of the population aged 25 and older, by sex	600	Paraguay	PRY	-60.54854225	-21.70216237	Latin America and the Caribbean	2012	_T	Both sexes or no breakdown by sex	AGG_2T8	Lower secondary (ISCED 2) or higher	42.67852	PT	Percent	C	Country Data	G	Global	2021	5200			EA_2t8_AG25t99, EA_2t8_AG25t99_F, EA_2t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_2T8	Both sexes or no breakdown by sex, lower secondary (isced 2) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S42192176	Educational attainment (minimum lower secondary) of the population aged 25 and older, by sex	600	Paraguay	PRY	-60.54854225	-21.70216237	Latin America and the Caribbean	2013	_T	Both sexes or no breakdown by sex	AGG_2T8	Lower secondary (ISCED 2) or higher	46.66382	PT	Percent	C	Country Data	G	Global	2021	5200			EA_2t8_AG25t99, EA_2t8_AG25t99_F, EA_2t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_2T8	Both sexes or no breakdown by sex, lower secondary (isced 2) or higher	False
II.11	I229b17ac	Educational attainment of the population aged 25 and older by sex	S42192176	Educational attainment (minimum lower secondary) of the population aged 25 and older, by sex	600	Paraguay	PRY	-60.54854225	-21.70216237	Latin America and the Caribbean	2014	_T	Both sexes or no breakdown by sex	AGG_2T8	Lower secondary (ISCED 2) or higher	46.6983	PT	Percent	C	Country Data	G	Global	2021	5200			EA_2t8_AG25t99, EA_2t8_AG25t99_F, EA_2t8_AG25t99_M	SEX__EDUCATION_LEV	_T__AGG_2T8	Both sexes or no breakdown by sex, lower secondary (isced 2) or higher	False
