INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	TIME_DETAIL	VALUE_CATEGORY	VALUE_CATEGORY_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_YEAR	isLatestValue
55	2	Extent of country commitment to support reconciliation of work and family life	61	Whether or not ratified ILO convention 177 on home work	246	Finland	FIN	23.308447	61.91586738	Europe and Northern America	1998	1998-06-17 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019	True
55	2	Extent of country commitment to support reconciliation of work and family life	61	Whether or not ratified ILO convention 177 on home work	372	Ireland	IRL	-7.121425272	53.25274054	Europe and Northern America	1999	1999-04-22 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019	True
55	2	Extent of country commitment to support reconciliation of work and family life	61	Whether or not ratified ILO convention 177 on home work	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2002	2002-07-24 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019	True
55	2	Extent of country commitment to support reconciliation of work and family life	61	Whether or not ratified ILO convention 177 on home work	528	Netherlands	NLD	5.331480568	51.86728884	Europe and Northern America	2002	2002-10-31 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019	True
55	2	Extent of country commitment to support reconciliation of work and family life	61	Whether or not ratified ILO convention 177 on home work	32	Argentina	ARG	-65.14563274	-35.19446255	Latin America and the Caribbean	2006	2006-07-31 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019	True
55	2	Extent of country commitment to support reconciliation of work and family life	61	Whether or not ratified ILO convention 177 on home work	100	Bulgaria	BGR	25.23763153	42.75731323	Europe and Northern America	2009	2009-07-17 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019	True
55	2	Extent of country commitment to support reconciliation of work and family life	61	Whether or not ratified ILO convention 177 on home work	70	Bosnia and Herzegovina	BIH	17.78584332	44.16845548	Europe and Northern America	2010	2010-01-18 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019	True
55	2	Extent of country commitment to support reconciliation of work and family life	61	Whether or not ratified ILO convention 177 on home work	762	Tajikistan	TJK	69.294998	38.43069666	Central and Southern Asia	2012	2012-05-29 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019	True
55	2	Extent of country commitment to support reconciliation of work and family life	61	Whether or not ratified ILO convention 177 on home work	56	Belgium	BEL	4.660976456	50.64104975	Europe and Northern America	2012	2012-10-02 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019	True
55	2	Extent of country commitment to support reconciliation of work and family life	61	Whether or not ratified ILO convention 177 on home work	807	North Macedonia	MKD	21.7007909	41.60048068	Europe and Northern America	2012	2012-10-03 00:00:00	1	Ratified, in force	C	Country Data	G	Global		2019	True
