INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	SOURCE_DETAIL	SOURCE_YEAR
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1971	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	1.0	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:12	2017
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1972	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	1.0	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:12	2017
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1973	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	1.0	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:12	2017
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1974	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	1.0	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:12	2017
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1975	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	0.99	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:12	2017
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1976	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	0.99	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:13	2017
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1977	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	0.99	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:13	2017
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1978	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	0.99	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:13	2017
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1979	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	0.99	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:13	2017
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1980	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	0.99	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:14	2017
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1981	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	0.99	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:14	2017
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1982	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	0.99	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:14	2017
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1983	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	0.99	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:14	2017
24	24	Gender parity index of the gross enrolment ratios in primary, secondary and tertiary education	17	Gender parity index of the gross enrolment ratios in primary education	36	Australia	AUS	133.0	-27.0	Australia and New Zealand	1984	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	0.98	RO	Ratio	C	Country data	G	Global	Data extracted via UNESCO API on: 2018-07-31T16:26:14	2017
