INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	LOWER_BOUND	UPPER_BOUND	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_YEAR	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
III.3	75250979	Maternal mortality ratio	75250979	Maternal mortality ratio	434	Libya	LBY	17.0	25.0	Northern Africa and Western Asia	2015	F	Female	9	PER_100000_LIVE_BIRTHS	Per 100,000 live births	6	15	E	Estimated	G	Global	The uncertainty intervals (UI) computed for all the estimates refer to the 80% uncertainty intervals (10th and 90th percentiles of the posterior distributions). This was chosen as opposed to the more standard 95% intervals because of the substantial uncertainty inherent in maternal mortality outcomes. MMR estimates have been rounded according to the following scheme: < 100 rounded to nearest 1; 100–999 rounded to nearest 1; and = 1000 rounded to nearest 10.	2015	SEX	F	Female	True
III.3	75250979	Maternal mortality ratio	75250979	Maternal mortality ratio	434	Libya	LBY	17.0	25.0	Northern Africa and Western Asia	1990	F	Female	39	PER_100000_LIVE_BIRTHS	Per 100,000 live births	22	67	E	Estimated	G	Global	The uncertainty intervals (UI) computed for all the estimates refer to the 80% uncertainty intervals (10th and 90th percentiles of the posterior distributions). This was chosen as opposed to the more standard 95% intervals because of the substantial uncertainty inherent in maternal mortality outcomes. MMR estimates have been rounded according to the following scheme: < 100 rounded to nearest 1; 100–999 rounded to nearest 1; and = 1000 rounded to nearest 10.	2015	SEX	F	Female	False
III.3	75250979	Maternal mortality ratio	75250979	Maternal mortality ratio	434	Libya	LBY	17.0	25.0	Northern Africa and Western Asia	1991	F	Female	35	PER_100000_LIVE_BIRTHS	Per 100,000 live births	21	60	E	Estimated	G	Global	The uncertainty intervals (UI) computed for all the estimates refer to the 80% uncertainty intervals (10th and 90th percentiles of the posterior distributions). This was chosen as opposed to the more standard 95% intervals because of the substantial uncertainty inherent in maternal mortality outcomes. MMR estimates have been rounded according to the following scheme: < 100 rounded to nearest 1; 100–999 rounded to nearest 1; and = 1000 rounded to nearest 10.	2015	SEX	F	Female	False
III.3	75250979	Maternal mortality ratio	75250979	Maternal mortality ratio	434	Libya	LBY	17.0	25.0	Northern Africa and Western Asia	1992	F	Female	32	PER_100000_LIVE_BIRTHS	Per 100,000 live births	19	54	E	Estimated	G	Global	The uncertainty intervals (UI) computed for all the estimates refer to the 80% uncertainty intervals (10th and 90th percentiles of the posterior distributions). This was chosen as opposed to the more standard 95% intervals because of the substantial uncertainty inherent in maternal mortality outcomes. MMR estimates have been rounded according to the following scheme: < 100 rounded to nearest 1; 100–999 rounded to nearest 1; and = 1000 rounded to nearest 10.	2015	SEX	F	Female	False
III.3	75250979	Maternal mortality ratio	75250979	Maternal mortality ratio	434	Libya	LBY	17.0	25.0	Northern Africa and Western Asia	1993	F	Female	29	PER_100000_LIVE_BIRTHS	Per 100,000 live births	18	49	E	Estimated	G	Global	The uncertainty intervals (UI) computed for all the estimates refer to the 80% uncertainty intervals (10th and 90th percentiles of the posterior distributions). This was chosen as opposed to the more standard 95% intervals because of the substantial uncertainty inherent in maternal mortality outcomes. MMR estimates have been rounded according to the following scheme: < 100 rounded to nearest 1; 100–999 rounded to nearest 1; and = 1000 rounded to nearest 10.	2015	SEX	F	Female	False
III.3	75250979	Maternal mortality ratio	75250979	Maternal mortality ratio	434	Libya	LBY	17.0	25.0	Northern Africa and Western Asia	1994	F	Female	27	PER_100000_LIVE_BIRTHS	Per 100,000 live births	16	45	E	Estimated	G	Global	The uncertainty intervals (UI) computed for all the estimates refer to the 80% uncertainty intervals (10th and 90th percentiles of the posterior distributions). This was chosen as opposed to the more standard 95% intervals because of the substantial uncertainty inherent in maternal mortality outcomes. MMR estimates have been rounded according to the following scheme: < 100 rounded to nearest 1; 100–999 rounded to nearest 1; and = 1000 rounded to nearest 10.	2015	SEX	F	Female	False
III.3	75250979	Maternal mortality ratio	75250979	Maternal mortality ratio	434	Libya	LBY	17.0	25.0	Northern Africa and Western Asia	1995	F	Female	25	PER_100000_LIVE_BIRTHS	Per 100,000 live births	15	41	E	Estimated	G	Global	The uncertainty intervals (UI) computed for all the estimates refer to the 80% uncertainty intervals (10th and 90th percentiles of the posterior distributions). This was chosen as opposed to the more standard 95% intervals because of the substantial uncertainty inherent in maternal mortality outcomes. MMR estimates have been rounded according to the following scheme: < 100 rounded to nearest 1; 100–999 rounded to nearest 1; and = 1000 rounded to nearest 10.	2015	SEX	F	Female	False
III.3	75250979	Maternal mortality ratio	75250979	Maternal mortality ratio	434	Libya	LBY	17.0	25.0	Northern Africa and Western Asia	1996	F	Female	23	PER_100000_LIVE_BIRTHS	Per 100,000 live births	14	38	E	Estimated	G	Global	The uncertainty intervals (UI) computed for all the estimates refer to the 80% uncertainty intervals (10th and 90th percentiles of the posterior distributions). This was chosen as opposed to the more standard 95% intervals because of the substantial uncertainty inherent in maternal mortality outcomes. MMR estimates have been rounded according to the following scheme: < 100 rounded to nearest 1; 100–999 rounded to nearest 1; and = 1000 rounded to nearest 10.	2015	SEX	F	Female	False
III.3	75250979	Maternal mortality ratio	75250979	Maternal mortality ratio	434	Libya	LBY	17.0	25.0	Northern Africa and Western Asia	1997	F	Female	21	PER_100000_LIVE_BIRTHS	Per 100,000 live births	13	34	E	Estimated	G	Global	The uncertainty intervals (UI) computed for all the estimates refer to the 80% uncertainty intervals (10th and 90th percentiles of the posterior distributions). This was chosen as opposed to the more standard 95% intervals because of the substantial uncertainty inherent in maternal mortality outcomes. MMR estimates have been rounded according to the following scheme: < 100 rounded to nearest 1; 100–999 rounded to nearest 1; and = 1000 rounded to nearest 10.	2015	SEX	F	Female	False
III.3	75250979	Maternal mortality ratio	75250979	Maternal mortality ratio	434	Libya	LBY	17.0	25.0	Northern Africa and Western Asia	1998	F	Female	20	PER_100000_LIVE_BIRTHS	Per 100,000 live births	13	31	E	Estimated	G	Global	The uncertainty intervals (UI) computed for all the estimates refer to the 80% uncertainty intervals (10th and 90th percentiles of the posterior distributions). This was chosen as opposed to the more standard 95% intervals because of the substantial uncertainty inherent in maternal mortality outcomes. MMR estimates have been rounded according to the following scheme: < 100 rounded to nearest 1; 100–999 rounded to nearest 1; and = 1000 rounded to nearest 10.	2015	SEX	F	Female	False
