INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	x	y	SDG_REGION	VALUE_CATEGORY	VALUE_CATEGORY_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	COMMENT_OBS	SOURCE_YEAR
57	4	Percentage of wages paid during maternity leave	64	Percentage of wages paid during maternity leave	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	15	At least 66.6%	100.0	PT	Percent	The employee is entitled to salary and other supplementary allowances of the staff.	2017
57	4	Percentage of wages paid during maternity leave	64	Percentage of wages paid during maternity leave	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	15	At least 66.6%	100.0	PT	Percent	Amount: The average daily weekly or monthly wages received by the worker during the three months immediately preceding the date on which she gives notice under §47 of the Labour Act 2003. Source: Liability for maternity benefits falls to the employer.	2017
57	4	Percentage of wages paid during maternity leave	64	Percentage of wages paid during maternity leave	144	Sri Lanka	LKA	80.70489654	7.614693343	Central and Southern Asia	15	At least 66.6%		PT	Percent	Amount: Employees covered by the Maternity Benefits Ordinance: Six-sevenths of the wages that a worker would have been entitled to if she had worked (for workers entitled to be paid at a time-rate) or six-sevenths of the average daily wages earned by a worker during the period of six months immediately preceding her confinement (for workers entitled to be paid at a piece-rate). Where the rate of maternity benefit for any day is less than one rupee such rate shall be one rupee. Employees covered by the Shop and Offices Employees Act: 100 per cent of the remuneration. Source: The employer.	2017
57	4	Percentage of wages paid during maternity leave	64	Percentage of wages paid during maternity leave	356	India	IND	79.3608464	22.34642074	Central and Southern Asia	15	At least 66.6%	100.0	PT	Percent	Amount: Every woman shall be entitled to and her employer shall be liable for the payment of maternity benefit at the rate of the average daily wage for the period of her actual absence (100%). Source: The employer is required to finance the maternity benefits.	2017
57	4	Percentage of wages paid during maternity leave	64	Percentage of wages paid during maternity leave	364	Iran (Islamic Republic of)	IRN	54.19766348	32.74370885	Central and Southern Asia	15	At least 66.6%	66.7	PT	Percent	Amount: The pregnancy and confinement benefit shall be equal to two thirds of the last wage or salary of the insured calculated in accordance with §63 of the Social Security Law. Source: The maternity cash benefits are paid by the Social Security Organization of the Islamic Republic of Iran which was established by the Social Security Law. The sources of income of the organization are as follows: 1. The insurance contribution being at the rate of 30% of wages or salaries 7% of which is to be paid by the insured 20% by the employer and 3% by the Government; 2. Income obtained from the funds reserves and properties of the organization; 3. Money obtained from penalties and cash fines specified in this law; 4. Grants and gifts.	2017
57	4	Percentage of wages paid during maternity leave	64	Percentage of wages paid during maternity leave	524	Nepal	NPL	83.94678863	28.25866332	Central and Southern Asia	15	At least 66.6%	100.0	PT	Percent	Amount: Employees are to be paid an amount equivalent to their full pay. Source: Payment is to be made by the employer.	2017
57	4	Percentage of wages paid during maternity leave	64	Percentage of wages paid during maternity leave	586	Pakistan	PAK	68.80479684	29.36491634	Central and Southern Asia	15	At least 66.6%	100.0	PT	Percent	Amount: The maternity benefit is expressed as an entitlement to payment at the rate of the worker’s wages last paid. Source: The employer is liable for payment of the maternity benefits.	2017
57	4	Percentage of wages paid during maternity leave	64	Percentage of wages paid during maternity leave	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	15	At least 66.6%	100.0	PT	Percent		2017
57	4	Percentage of wages paid during maternity leave	64	Percentage of wages paid during maternity leave	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	15	At least 66.6%	100.0	PT	Percent	Amount: 100 % of the average daily wage earned over the last 13 weeks (or 3 months) before the start of the maternity leave minus the statutory deductions. Detailed regulations on the calculation of the amount of benefits exist. The female worker remains entitled to other payments especially one-off ones. Source: Statutory Health Insurance.	2017
57	4	Percentage of wages paid during maternity leave	64	Percentage of wages paid during maternity leave	56	Belgium	BEL	4.660976456	50.64104975	Europe and Northern America	15	At least 66.6%		PT	Percent	Amount: Maternity benefits shall be paid to the worker during the period of maternity leave namely 15 weeks and any extensions thereof in case of multiple birth (17 or 19 weeks). The worker who is employed at the moment of her pregnancy shall enjoy 79.5% of her gross salary (no ceiling) for the first 30 days and 75% up to a ceiling for the remaining period. For the unemployed women 60% of the gross salary prior to being unemployed up to a ceiling and a complementary indemnity of 19 5% for the first 30 days and of 15% for the remaining period. Source: Social security (compulsory sickness and indemnity insurance scheme).	2017
57	4	Percentage of wages paid during maternity leave	64	Percentage of wages paid during maternity leave	100	Bulgaria	BGR	25.23763153	42.75731323	Europe and Northern America	15	At least 66.6%	90.0	PT	Percent	Amount: 90 per cent of the average daily wage or of the insured income. Source: State public insurance (the General Sickness and Maternity Fund).	2017
