INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	TIME_DETAIL	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_DETAIL	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
I.18	Ib8e91664	Proportion of individuals who own a mobile telephone, by sex	Sb8e91664	Proportion of individuals who own a mobile telephone, by sex	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2016	2016	_T	Both sexes or no breakdown by sex	46.82	PT	Percent	C	Country Data	G	Global		NSIA	2021	3000	IT_MOB_OWN			SEX	_T	Both sexes or no breakdown by sex	True
I.18	Ib8e91664	Proportion of individuals who own a mobile telephone, by sex	Sb8e91664	Proportion of individuals who own a mobile telephone, by sex	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	87.88	PT	Percent	C	Country Data	G	Global		Ministry of Post, Telecommunications, Technologies and Digital	2021	3000	IT_MOB_OWN			SEX	_T	Both sexes or no breakdown by sex	True
I.18	Ib8e91664	Proportion of individuals who own a mobile telephone, by sex	Sb8e91664	Proportion of individuals who own a mobile telephone, by sex	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2014	2014	_T	Both sexes or no breakdown by sex	73.92	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	3000	IT_MOB_OWN			SEX	_T	Both sexes or no breakdown by sex	False
I.18	Ib8e91664	Proportion of individuals who own a mobile telephone, by sex	Sb8e91664	Proportion of individuals who own a mobile telephone, by sex	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2015	2015	_T	Both sexes or no breakdown by sex	74.12	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	3000	IT_MOB_OWN			SEX	_T	Both sexes or no breakdown by sex	False
I.18	Ib8e91664	Proportion of individuals who own a mobile telephone, by sex	Sb8e91664	Proportion of individuals who own a mobile telephone, by sex	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2016	2016	_T	Both sexes or no breakdown by sex	73.42	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	3000	IT_MOB_OWN			SEX	_T	Both sexes or no breakdown by sex	False
I.18	Ib8e91664	Proportion of individuals who own a mobile telephone, by sex	Sb8e91664	Proportion of individuals who own a mobile telephone, by sex	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2017	2017	_T	Both sexes or no breakdown by sex	84.0	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	3000	IT_MOB_OWN			SEX	_T	Both sexes or no breakdown by sex	False
I.18	Ib8e91664	Proportion of individuals who own a mobile telephone, by sex	Sb8e91664	Proportion of individuals who own a mobile telephone, by sex	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2018	2018	_T	Both sexes or no breakdown by sex	83.5	PT	Percent	C	Country Data	G	Global		State Statistical Committee of the Republic of Azerbaijan	2021	3000	IT_MOB_OWN			SEX	_T	Both sexes or no breakdown by sex	False
I.18	Ib8e91664	Proportion of individuals who own a mobile telephone, by sex	Sb8e91664	Proportion of individuals who own a mobile telephone, by sex	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2019	2019	_T	Both sexes or no breakdown by sex	83.5	PT	Percent	C	Country Data	G	Global		State Statistical Committee	2021	3000	IT_MOB_OWN			SEX	_T	Both sexes or no breakdown by sex	True
I.18	Ib8e91664	Proportion of individuals who own a mobile telephone, by sex	Sb8e91664	Proportion of individuals who own a mobile telephone, by sex	48	Bahrain	BHR	50.5490754	26.04407747	Northern Africa and Western Asia	2015	2015	_T	Both sexes or no breakdown by sex	100.0	PT	Percent	C	Country Data	G	Global	Population age 15+	Information and E-Government Authority	2021	3000	IT_MOB_OWN			SEX	_T	Both sexes or no breakdown by sex	False
I.18	Ib8e91664	Proportion of individuals who own a mobile telephone, by sex	Sb8e91664	Proportion of individuals who own a mobile telephone, by sex	48	Bahrain	BHR	50.5490754	26.04407747	Northern Africa and Western Asia	2016	2016	_T	Both sexes or no breakdown by sex	100.0	PT	Percent	C	Country Data	G	Global	Population age 15+	Information and E-Government Authority	2021	3000	IT_MOB_OWN			SEX	_T	Both sexes or no breakdown by sex	False
