INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	SEX	SEX_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_YEAR	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
I.3	a7751861	Labour force participation rates for persons aged 15-24 and 15+, by sex	d4e715ea	Labour force participation rate for persons aged 15-24, by sex	646	Rwanda	RWA	30.0	-2.0	Sub-Saharan Africa	2001	_T	Both sexes or no breakdown by sex	74.8	PT	Percent	C	Country Data	G	Global	Age coverage - maximum age: 64 years old;	2017	SEX	_T	Both sexes or no breakdown by sex	False
I.3	a7751861	Labour force participation rates for persons aged 15-24 and 15+, by sex	d4e715ea	Labour force participation rate for persons aged 15-24, by sex	646	Rwanda	RWA	30.0	-2.0	Sub-Saharan Africa	1996	_T	Both sexes or no breakdown by sex	78.99	PT	Percent	C	Country Data	G	Global	Data reference period: Annual or annual average	2017	SEX	_T	Both sexes or no breakdown by sex	False
I.3	a7751861	Labour force participation rates for persons aged 15-24 and 15+, by sex	d4e715ea	Labour force participation rate for persons aged 15-24, by sex	646	Rwanda	RWA	30.0	-2.0	Sub-Saharan Africa	2014	_T	Both sexes or no breakdown by sex	65.45	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing;	2017	SEX	_T	Both sexes or no breakdown by sex	True
I.3	a7751861	Labour force participation rates for persons aged 15-24 and 15+, by sex	d4e715ea	Labour force participation rate for persons aged 15-24, by sex	646	Rwanda	RWA	30.0	-2.0	Sub-Saharan Africa	2001	F	Female	76.3	PT	Percent	C	Country Data	G	Global	Age coverage - maximum age: 64 years old;	2017	SEX	F	Female	False
I.3	a7751861	Labour force participation rates for persons aged 15-24 and 15+, by sex	d4e715ea	Labour force participation rate for persons aged 15-24, by sex	646	Rwanda	RWA	30.0	-2.0	Sub-Saharan Africa	1996	F	Female	79.26	PT	Percent	C	Country Data	G	Global	Data reference period: Annual or annual average	2017	SEX	F	Female	False
I.3	a7751861	Labour force participation rates for persons aged 15-24 and 15+, by sex	d4e715ea	Labour force participation rate for persons aged 15-24, by sex	646	Rwanda	RWA	30.0	-2.0	Sub-Saharan Africa	2014	F	Female	65.22	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing;	2017	SEX	F	Female	True
I.3	a7751861	Labour force participation rates for persons aged 15-24 and 15+, by sex	d4e715ea	Labour force participation rate for persons aged 15-24, by sex	646	Rwanda	RWA	30.0	-2.0	Sub-Saharan Africa	2001	M	Male	73.2	PT	Percent	C	Country Data	G	Global	Age coverage - maximum age: 64 years old;	2017	SEX	M	Male	False
I.3	a7751861	Labour force participation rates for persons aged 15-24 and 15+, by sex	d4e715ea	Labour force participation rate for persons aged 15-24, by sex	646	Rwanda	RWA	30.0	-2.0	Sub-Saharan Africa	1996	M	Male	78.66	PT	Percent	C	Country Data	G	Global	Data reference period: Annual or annual average	2017	SEX	M	Male	False
I.3	a7751861	Labour force participation rates for persons aged 15-24 and 15+, by sex	d4e715ea	Labour force participation rate for persons aged 15-24, by sex	646	Rwanda	RWA	30.0	-2.0	Sub-Saharan Africa	2014	M	Male	65.7	PT	Percent	C	Country Data	G	Global	Repository: ILO-STATISTICS - Micro data processing;	2017	SEX	M	Male	True
I.3	a7751861	Labour force participation rates for persons aged 15-24 and 15+, by sex	d4e715ea	Labour force participation rate for persons aged 15-24, by sex	818	Egypt	EGY	30.0	27.0	Northern Africa and Western Asia	2005	_T	Both sexes or no breakdown by sex	36.27	PT	Percent	C	Country Data	G	Global	Age coverage - maximum age: 64 years old; Data reference period: Annual or annual average | Population coverage: Excluding armed forces and/or conscripts	2017	SEX	_T	Both sexes or no breakdown by sex	False
