INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	4	Afghanistan				AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	144	Sri Lanka				LKA	80.70489654	7.614693343	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	524	Nepal				NPL	83.94678863	28.25866332	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	56	Belgium				BEL	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	276	Germany				DEU	10.3806066	51.08862743	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	300	Greece				GRC	22.58307827	39.47301873	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	304	Greenland				GRL	-41.39371316	74.75625681		4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	380	Italy				ITA	12.57022427	42.79917282	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	438	Liechtenstein				LIE	9.552985019	47.14167005	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	442	Luxembourg				LUX	6.092656563	49.77679538	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	643	Russian Federation				RUS	99.01404926	61.61899849	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	724	Spain				ESP	-3.554078296	40.39211472	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	840	United States of America				USA	-99.13830311	39.5277871	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	434	Libya				LBY	18.0295985	27.04042819	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	316	Guam				GUM	144.7029305	13.35485404		4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	520	Nauru				NRU	166.92313	-0.528742623	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
IV.3q	04c00dff	Existence of law on gender statistics	04c00dff	Existence of law on gender statistics	585	Palau				PLW	134.5733878	7.502307591	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
