INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	AGE	AGE_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
IV.6	Iece33744	Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	Sf8af2bef	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	716	Zimbabwe	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	7900	ZWE	29.86909584	-19.00075492	1.0	4	Country or Area	Sub-Saharan Africa	[2006, 2011, 2015]	2006	2015	3	1	2
IV.6	Iece33744	Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	Sf8af2bef	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	204	Benin	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	7900	BEN	2.339933594	9.65401646	1.0	4	Country or Area	Sub-Saharan Africa	[2006, 2012, 2018]	2006	2018	3	1	2
IV.6	Iece33744	Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	Sf8af2bef	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	332	Haiti	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	7900	HTI	-72.33640958	18.40426539	1.0	4	Country or Area	Latin America and the Caribbean	[2006, 2012, 2017]	2006	2017	3	1	2
IV.6	Iece33744	Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	Sf8af2bef	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	466	Mali	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	7900	MLI	-3.522016039	17.35311254	1.0	4	Country or Area	Sub-Saharan Africa	[2006, 2013, 2018]	2006	2018	3	1	2
IV.6	Iece33744	Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	Sf8af2bef	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	562	Niger	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	7900	NER	9.400167877	17.42143036	1.0	4	Country or Area	Sub-Saharan Africa	[2006, 2012]	2006	2012	2	0	1
IV.6	Iece33744	Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	Sf8af2bef	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	800	Uganda	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	7900	UGA	32.39100438	1.279557331	1.0	4	Country or Area	Sub-Saharan Africa	[2006, 2011, 2016]	2006	2016	3	1	2
IV.6	Iece33744	Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	Sf8af2bef	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	516	Namibia	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	7900	NAM	17.21907885	-22.13817068	1.0	4	Country or Area	Sub-Saharan Africa	[2007, 2013]	2007	2013	2	0	1
IV.6	Iece33744	Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	Sf8af2bef	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	748	Eswatini	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	7900	SWZ	31.50149288	-26.56471011	1.0	4	Country or Area	Sub-Saharan Africa	[2007]	2007	2007	1	0	0
IV.6	Iece33744	Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	Sf8af2bef	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	180	Democratic Republic of the Congo	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	7900	COD	23.65496507	-2.877154732	1.0	4	Country or Area	Sub-Saharan Africa	[2007, 2014]	2007	2014	2	0	1
IV.6	Iece33744	Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	Sf8af2bef	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	214	Dominican Republic	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	7900	DOM	-70.49847576	18.89832088	1.0	4	Country or Area	Latin America and the Caribbean	[2007]	2007	2007	1	0	0
IV.6	Iece33744	Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care	Sf8af2bef	Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years)	804	Ukraine	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	7900	UKR	31.40270802	49.00735945	1.0	4	Country or Area	Europe and Northern America	[2007]	2007	2007	1	0	0
