INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	AGE	AGE_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	36	Australia	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2010, 2012, 2015]	2010	2015	3	1	3
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	4	Afghanistan	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[1975, 1979]	1975	1979	2	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	50	Bangladesh	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	BGD	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2001]	2001	2001	1	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	64	Bhutan	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	BTN	90.45098484	27.39598568	1.0	4	Country or Area	Central and Southern Asia	[2012]	2012	2012	1	0	1
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	356	India	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	IND	79.3608464	22.34642074	1.0	4	Country or Area	Central and Southern Asia	[2011]	2011	2011	1	0	1
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	398	Kazakhstan	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	KAZ	66.65359159	48.01963494	1.0	4	Country or Area	Central and Southern Asia	[1999, 2007, 2009]	1999	2009	3	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	417	Kyrgyzstan	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	KGZ	74.52324839	41.46204516	1.0	4	Country or Area	Central and Southern Asia	[1999, 2009]	1999	2009	2	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	462	Maldives	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	MDV	73.09672546	-0.614385021	1.0	4	Country or Area	Central and Southern Asia	[2006]	2006	2006	1	0	0
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	524	Nepal	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	NPL	83.94678863	28.25866332	1.0	4	Country or Area	Central and Southern Asia	[2011]	2011	2011	1	0	1
II.12	I229b17ac	Educational attainment of the population aged 25 and older by sex	S339b1e69	Educational attainment (minimum primary) of the population aged 25 and older, by sex	586	Pakistan	_T	Both sexes or no breakdown by sex	Y_GE25	25 years old and over	AGG_1T8	Primary (ISCED 1) or higher	SEX__AGE__EDUCATION_LEV	_T__Y_GE25__AGG_1T8	Both sexes or no breakdown by sex, 25 years old and over, primary (isced 1) or higher	5600	PAK	68.80479684	29.36491634	1.0	4	Country or Area	Central and Southern Asia	[1972, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014]	1972	2014	10	0	5
