INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	148	Chad				18.66618401	15.36279341	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	174	Comoros				43.34234565	-11.66121732	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	268	Georgia				43.3713615	42.04813028	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	688	Serbia				20.805876	44.03145697	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	112	Belarus				28.04940161	53.54193075	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	624	Guinea-Bissau				-14.40182514	12.11760394	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	524	Nepal				83.94678863	28.25866332	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	670	Saint Vincent and the Grenadines				-61.19024321	13.24627968	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	882	Samoa				-172.4430749	-13.61541469	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	740	Suriname				-55.90626394	4.132603197	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	20	Andorra				1.576257417	42.54548611	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	24	Angola				17.57817062	-12.33724746	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	108	Burundi				29.89080992	-3.366387428	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	384	Côte d'Ivoire				-5.552690016	7.62211586	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	192	Cuba				-79.54460144	22.10030366	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	214	Dominican Republic				-70.49847576	18.89832088	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	392	Japan				139.2716103	36.6554539	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	450	Madagascar				46.6982339	-19.38514785	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	499	Montenegro				19.25214024	42.78717043	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	508	Mozambique				38.18479941	-14.27963886	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	616	Poland				19.40660158	52.1226733	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	686	Senegal				-14.46636926	14.35920905	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	690	Seychelles				55.46561591	-4.678053059	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	703	Slovakia				19.48495604	48.70741446	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	780	Trinidad and Tobago				-61.29389504	10.41877263	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	716	Zimbabwe				29.86909584	-19.00075492	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	48	Bahrain				50.5490754	26.04407747	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	818	Egypt				29.77468534	26.57438204	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	222	El Salvador				-88.86862995	13.73603564	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
V.2	158e0e5f	Existence of laws on domestic violence	158d0e7a	Existence of laws on sexual harassment	332	Haiti				-72.33640958	18.40426539	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
