INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
I.9	ddba1b3e	Proportion of informal employment in non agriculture employment, by sex	df4d1b4b	Proportion of informal employment in non-agriculture employment, by sex	50	Bangladesh	M	Male	SEX	M	Male	BGD	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2010, 2013, 2017]	2010	2017	3	1	3
I.9	ddba1b3e	Proportion of informal employment in non agriculture employment, by sex	df4d1b4b	Proportion of informal employment in non-agriculture employment, by sex	356	India	M	Male	SEX	M	Male	IND	79.3608464	22.34642074	1.0	4	Country or Area	Central and Southern Asia	[2010, 2012]	2010	2012	2	0	2
I.9	ddba1b3e	Proportion of informal employment in non agriculture employment, by sex	df4d1b4b	Proportion of informal employment in non-agriculture employment, by sex	462	Maldives	M	Male	SEX	M	Male	MDV	73.09672546	-0.614385021	1.0	4	Country or Area	Central and Southern Asia	[2016]	2016	2016	1	1	1
I.9	ddba1b3e	Proportion of informal employment in non agriculture employment, by sex	df4d1b4b	Proportion of informal employment in non-agriculture employment, by sex	524	Nepal	M	Male	SEX	M	Male	NPL	83.94678863	28.25866332	1.0	4	Country or Area	Central and Southern Asia	[2008]	2008	2008	1	0	0
I.9	ddba1b3e	Proportion of informal employment in non agriculture employment, by sex	df4d1b4b	Proportion of informal employment in non-agriculture employment, by sex	586	Pakistan	M	Male	SEX	M	Male	PAK	68.80479684	29.36491634	1.0	4	Country or Area	Central and Southern Asia	[2009, 2010, 2011, 2013, 2014, 2015]	2009	2015	6	1	5
I.9	ddba1b3e	Proportion of informal employment in non agriculture employment, by sex	df4d1b4b	Proportion of informal employment in non-agriculture employment, by sex	8	Albania	M	Male	SEX	M	Male	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011, 2012, 2013]	2011	2013	3	0	3
I.9	ddba1b3e	Proportion of informal employment in non agriculture employment, by sex	df4d1b4b	Proportion of informal employment in non-agriculture employment, by sex	688	Serbia	M	Male	SEX	M	Male	SRB	20.805876	44.03145697	1.0	4	Country or Area	Europe and Northern America	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2010	2017	8	3	8
I.9	ddba1b3e	Proportion of informal employment in non agriculture employment, by sex	df4d1b4b	Proportion of informal employment in non-agriculture employment, by sex	818	Egypt	M	Male	SEX	M	Male	EGY	29.77468534	26.57438204	1.0	4	Country or Area	Northern Africa and Western Asia	[2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016]	2008	2016	8	2	6
I.9	ddba1b3e	Proportion of informal employment in non agriculture employment, by sex	df4d1b4b	Proportion of informal employment in non-agriculture employment, by sex	882	Samoa	M	Male	SEX	M	Male	WSM	-172.4430749	-13.61541469	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2012]	2012	2012	1	0	1
I.9	ddba1b3e	Proportion of informal employment in non agriculture employment, by sex	df4d1b4b	Proportion of informal employment in non-agriculture employment, by sex	24	Angola	M	Male	SEX	M	Male	AGO	17.57817062	-12.33724746	1.0	4	Country or Area	Sub-Saharan Africa	[2004, 2011]	2004	2011	2	0	1
