INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	AGE	AGE_DESC	URBANIZATION	URBANIZATION_DESC	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	643	Russian Federation	F	Female	Y_GE15	15 years old and over	R	Rural	99.01404926	61.61899849	1.0	4	Country or Area	Europe and Northern America	[2014]	2014	2014	1	0	1
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	643	Russian Federation	M	Male	Y_GE15	15 years old and over	R	Rural	99.01404926	61.61899849	1.0	4	Country or Area	Europe and Northern America	[2014]	2014	2014	1	0	1
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	8	Albania	F	Female	Y_GE10	10 years old and over	R	Rural	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	8	Albania	M	Male	Y_GE10	10 years old and over	R	Rural	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	8	Albania	F	Female	Y_GE65	65 years old and over	R	Rural	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	8	Albania	M	Male	Y_GE65	65 years old and over	R	Rural	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	F	Female	Y_GE10	10 years old and over	R	Rural	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[2014]	2014	2014	1	0	1
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	M	Male	Y_GE10	10 years old and over	R	Rural	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[2014]	2014	2014	1	0	1
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	F	Female	Y_GE15	15 years old and over	R	Rural	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[2014]	2014	2014	1	0	1
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	M	Male	Y_GE15	15 years old and over	R	Rural	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[2014]	2014	2014	1	0	1
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	F	Female	Y15T24	15 to 24 years old	R	Rural	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[2014]	2014	2014	1	0	1
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	M	Male	Y15T24	15 to 24 years old	R	Rural	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[2014]	2014	2014	1	0	1
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	120	Cameroon	F	Female	Y25T44	25 to 44 years old	R	Rural	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[2014]	2014	2014	1	0	1
