INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	HOUSEHOLD_TYPE	HOUSEHOLD_TYPE_DESC	CHILDREN_UNDER6_PRESENCE	CHILDREN_UNDER6_PRESENCE_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
I.15	Ic6982113	Prime-age employment-to-population ratio by sex, household type and presence of children	S6e1d24f4	Prime-age employment-to-population ratio by sex, household type and presence of children under age 6	4	Afghanistan	F	Female	K	Couple with children	CHL_AGET6_NO	No	SEX__HOUSEHOLD_TYPE__CHILDREN_UNDER6_PRESENCE	F__K__CHL_AGET6_NO	Female, couple with children, no	2500	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2014, 2017, 2020]	2014	2020	3	2	3
I.15	Ic6982113	Prime-age employment-to-population ratio by sex, household type and presence of children	S6e1d24f4	Prime-age employment-to-population ratio by sex, household type and presence of children under age 6	4	Afghanistan	M	Male	K	Couple with children	CHL_AGET6_NO	No	SEX__HOUSEHOLD_TYPE__CHILDREN_UNDER6_PRESENCE	M__K__CHL_AGET6_NO	Male, couple with children, no	2500	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2014, 2017, 2020]	2014	2020	3	2	3
I.15	Ic6982113	Prime-age employment-to-population ratio by sex, household type and presence of children	S6e1d24f4	Prime-age employment-to-population ratio by sex, household type and presence of children under age 6	4	Afghanistan	_T	Both sexes or no breakdown by sex	K	Couple with children	CHL_AGET6_NO	No	SEX__HOUSEHOLD_TYPE__CHILDREN_UNDER6_PRESENCE	_T__K__CHL_AGET6_NO	Both sexes or no breakdown by sex, couple with children, no	2500	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2014, 2017, 2020]	2014	2020	3	2	3
I.15	Ic6982113	Prime-age employment-to-population ratio by sex, household type and presence of children	S6e1d24f4	Prime-age employment-to-population ratio by sex, household type and presence of children under age 6	24	Angola	F	Female	K	Couple with children	CHL_AGET6_NO	No	SEX__HOUSEHOLD_TYPE__CHILDREN_UNDER6_PRESENCE	F__K__CHL_AGET6_NO	Female, couple with children, no	2500	AGO	17.57817062	-12.33724746	1.0	4	Country or Area	Sub-Saharan Africa	[2011, 2014]	2011	2014	2	0	2
I.15	Ic6982113	Prime-age employment-to-population ratio by sex, household type and presence of children	S6e1d24f4	Prime-age employment-to-population ratio by sex, household type and presence of children under age 6	8	Albania	F	Female	K	Couple with children	CHL_AGET6_NO	No	SEX__HOUSEHOLD_TYPE__CHILDREN_UNDER6_PRESENCE	F__K__CHL_AGET6_NO	Female, couple with children, no	2500	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2018, 2019]	2018	2019	2	2	2
I.15	Ic6982113	Prime-age employment-to-population ratio by sex, household type and presence of children	S6e1d24f4	Prime-age employment-to-population ratio by sex, household type and presence of children under age 6	32	Argentina	F	Female	K	Couple with children	CHL_AGET6_NO	No	SEX__HOUSEHOLD_TYPE__CHILDREN_UNDER6_PRESENCE	F__K__CHL_AGET6_NO	Female, couple with children, no	2500	ARG	-65.14563274	-35.19446255	1.0	4	Country or Area	Latin America and the Caribbean	[2017, 2018, 2019]	2017	2019	3	3	3
I.15	Ic6982113	Prime-age employment-to-population ratio by sex, household type and presence of children	S6e1d24f4	Prime-age employment-to-population ratio by sex, household type and presence of children under age 6	51	Armenia	F	Female	K	Couple with children	CHL_AGET6_NO	No	SEX__HOUSEHOLD_TYPE__CHILDREN_UNDER6_PRESENCE	F__K__CHL_AGET6_NO	Female, couple with children, no	2500	ARM	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2010	2019	10	5	10
I.15	Ic6982113	Prime-age employment-to-population ratio by sex, household type and presence of children	S6e1d24f4	Prime-age employment-to-population ratio by sex, household type and presence of children under age 6	40	Austria	F	Female	K	Couple with children	CHL_AGET6_NO	No	SEX__HOUSEHOLD_TYPE__CHILDREN_UNDER6_PRESENCE	F__K__CHL_AGET6_NO	Female, couple with children, no	2500	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]	2010	2020	11	6	11
I.15	Ic6982113	Prime-age employment-to-population ratio by sex, household type and presence of children	S6e1d24f4	Prime-age employment-to-population ratio by sex, household type and presence of children under age 6	56	Belgium	F	Female	K	Couple with children	CHL_AGET6_NO	No	SEX__HOUSEHOLD_TYPE__CHILDREN_UNDER6_PRESENCE	F__K__CHL_AGET6_NO	Female, couple with children, no	2500	BEL	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2010	2019	10	5	10
I.15	Ic6982113	Prime-age employment-to-population ratio by sex, household type and presence of children	S6e1d24f4	Prime-age employment-to-population ratio by sex, household type and presence of children under age 6	50	Bangladesh	F	Female	K	Couple with children	CHL_AGET6_NO	No	SEX__HOUSEHOLD_TYPE__CHILDREN_UNDER6_PRESENCE	F__K__CHL_AGET6_NO	Female, couple with children, no	2500	BGD	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2010, 2013, 2017]	2010	2017	3	1	3
