INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	AGE	AGE_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
II.1	2e391327	Youth literacy rate of persons aged 15-24 years, by sex	ed7f11c7	Youth literacy rate of persons (15-24 years), by sex	324	Guinea	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	-11.28173419	11.00210343	1.0	4	Country or Area	Sub-Saharan Africa	[1996, 2003, 2010, 2014]	1996	2014	4	0	2
II.1	2e391327	Youth literacy rate of persons aged 15-24 years, by sex	ed7f11c7	Youth literacy rate of persons (15-24 years), by sex	320	Guatemala	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	-91.2312746	15.00273719	1.0	4	Country or Area	Latin America and the Caribbean	[1994, 2002, 2012, 2013, 2014]	1994	2014	5	0	3
II.1	2e391327	Youth literacy rate of persons aged 15-24 years, by sex	ed7f11c7	Youth literacy rate of persons (15-24 years), by sex	308	Grenada	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	-61.68248568	12.11238395	1.0	4	Country or Area	Latin America and the Caribbean	[1970]	1970	1970	1	0	0
II.1	2e391327	Youth literacy rate of persons aged 15-24 years, by sex	ed7f11c7	Youth literacy rate of persons (15-24 years), by sex	304	Greenland	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	-41.39371316	74.75625681		4	Country or Area	Europe and Northern America	[2015]	2015	2015	1	1	1
II.1	2e391327	Youth literacy rate of persons aged 15-24 years, by sex	ed7f11c7	Youth literacy rate of persons (15-24 years), by sex	300	Greece	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	22.58307827	39.47301873	1.0	4	Country or Area	Europe and Northern America	[1981, 1991, 2001, 2005, 2007, 2009, 2011]	1981	2011	7	0	1
II.1	2e391327	Youth literacy rate of persons aged 15-24 years, by sex	ed7f11c7	Youth literacy rate of persons (15-24 years), by sex	288	Ghana	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	-1.205623522	7.964825185	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2010]	2000	2010	2	0	1
II.1	2e391327	Youth literacy rate of persons aged 15-24 years, by sex	ed7f11c7	Youth literacy rate of persons (15-24 years), by sex	360	Indonesia	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	113.9174	-0.994582204	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1980, 1990, 2004, 2006, 2008, 2009, 2011, 2014, 2015, 2016]	1980	2016	10	2	4
II.1	2e391327	Youth literacy rate of persons aged 15-24 years, by sex	ed7f11c7	Youth literacy rate of persons (15-24 years), by sex	356	India	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	79.3608464	22.34642074	1.0	4	Country or Area	Central and Southern Asia	[1981, 1991, 2001, 2006, 2011]	1981	2011	5	0	1
II.1	2e391327	Youth literacy rate of persons aged 15-24 years, by sex	ed7f11c7	Youth literacy rate of persons (15-24 years), by sex	348	Hungary	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	19.41221519	47.1651448	1.0	4	Country or Area	Europe and Northern America	[1980]	1980	1980	1	0	0
II.1	2e391327	Youth literacy rate of persons aged 15-24 years, by sex	ed7f11c7	Youth literacy rate of persons (15-24 years), by sex	340	Honduras	_T	Both sexes or no breakdown by sex	Y15T24	15 to 24 years old	SEX__AGE	_T__Y15T24	Both sexes or no breakdown by sex, 15 to 24 years old	-86.59974381	14.82243161	1.0	4	Country or Area	Latin America and the Caribbean	[2001, 2007, 2010, 2011, 2012, 2013, 2014, 2015, 2016]	2001	2016	9	2	7
