INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	376	Israel				ISR	34.62277992	31.06164552	1.0	4	Country or Area	Northern Africa and Western Asia	[1959]	1959	1959	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	368	Iraq				IRQ	43.76606267	33.05013795	1.0	4	Country or Area	Northern Africa and Western Asia	[1959]	1959	1959	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	430	Liberia				LBR	-9.311879038	6.448381009	1.0	4	Country or Area	Sub-Saharan Africa	[1959]	1959	1959	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	788	Tunisia				TUN	9.572737411	34.11439971	1.0	4	Country or Area	Northern Africa and Western Asia	[1959]	1959	1959	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	578	Norway				NOR	11.47846389	61.34311134	1.0	4	Country or Area	Europe and Northern America	[1959]	1959	1959	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	620	Portugal				PRT	-7.961599811	39.68509315	1.0	4	Country or Area	Europe and Northern America	[1959]	1959	1959	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	818	Egypt				EGY	29.77468534	26.57438204	1.0	4	Country or Area	Northern Africa and Western Asia	[1960]	1960	1960	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	760	Syrian Arab Republic				SYR	38.50466565	35.01676176	1.0	4	Country or Area	Northern Africa and Western Asia	[1960]	1960	1960	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	356	India				IND	79.3608464	22.34642074	1.0	4	Country or Area	Central and Southern Asia	[1960]	1960	1960	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	340	Honduras				HND	-86.59974381	14.82243161	1.0	4	Country or Area	Latin America and the Caribbean	[1960]	1960	1960	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	208	Denmark				DNK	9.326571283	56.03829721	1.0	4	Country or Area	Europe and Northern America	[1960]	1960	1960	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	100	Bulgaria				BGR	25.23763153	42.75731323	1.0	4	Country or Area	Europe and Northern America	[1960]	1960	1960	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	324	Guinea				GIN	-11.28173419	11.00210343	1.0	4	Country or Area	Sub-Saharan Africa	[1960]	1960	1960	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	320	Guatemala				GTM	-91.2312746	15.00273719	1.0	4	Country or Area	Latin America and the Caribbean	[1960]	1960	1960	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	608	Philippines				PHL	120.8601418	14.16591706	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1960]	1960	1960	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	586	Pakistan				PAK	68.80479684	29.36491634	1.0	4	Country or Area	Central and Southern Asia	[1961]	1961	1961	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	288	Ghana				GHA	-1.205623522	7.964825185	1.0	4	Country or Area	Sub-Saharan Africa	[1961]	1961	1961	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	643	Russian Federation				RUS	99.01404926	61.61899849	1.0	4	Country or Area	Europe and Northern America	[1961]	1961	1961	1	0	0
I.1q	d2261786	Extent of country commitment to gender equality in employment	a9af20cf	Whether or not ratified ILO convention 111 on discrimination in employment and occupation	384	Côte d'Ivoire				CIV	-5.552690016	7.62211586	1.0	4	Country or Area	Sub-Saharan Africa	[1961]	1961	1961	1	0	0
