INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	AGE	AGE_DESC	DISABILITY_STATUS	DISABILITY_STATUS_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	51	Armenia	F	Female	_X	Not Available or not specified	PWD	Persons without disability	SEX__AGE__DISABILITY_STATUS	F___X__PWD	Female, not available or not specified, persons without disability	1800	ARM	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[2008, 2014, 2015, 2016, 2017, 2018]	2008	2018	6	4	5
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	51	Armenia	M	Male	_X	Not Available or not specified	PWD	Persons without disability	SEX__AGE__DISABILITY_STATUS	M___X__PWD	Male, not available or not specified, persons without disability	1800	ARM	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[2008, 2014, 2015, 2016, 2017, 2018]	2008	2018	6	4	5
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	51	Armenia	_T	Both sexes or no breakdown by sex	_X	Not Available or not specified	PWD	Persons without disability	SEX__AGE__DISABILITY_STATUS	_T___X__PWD	Both sexes or no breakdown by sex, not available or not specified, persons without disability	1800	ARM	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[2008, 2014, 2015, 2016, 2017, 2018]	2008	2018	6	4	5
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	40	Austria	F	Female	_X	Not Available or not specified	PWD	Persons without disability	SEX__AGE__DISABILITY_STATUS	F___X__PWD	Female, not available or not specified, persons without disability	1800	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2012]	2012	2012	1	0	1
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	40	Austria	_T	Both sexes or no breakdown by sex	_X	Not Available or not specified	PWD	Persons without disability	SEX__AGE__DISABILITY_STATUS	_T___X__PWD	Both sexes or no breakdown by sex, not available or not specified, persons without disability	1800	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2012]	2012	2012	1	0	1
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	40	Austria	M	Male	_X	Not Available or not specified	PWD	Persons without disability	SEX__AGE__DISABILITY_STATUS	M___X__PWD	Male, not available or not specified, persons without disability	1800	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2012]	2012	2012	1	0	1
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	56	Belgium	_T	Both sexes or no breakdown by sex	_X	Not Available or not specified	PWD	Persons without disability	SEX__AGE__DISABILITY_STATUS	_T___X__PWD	Both sexes or no breakdown by sex, not available or not specified, persons without disability	1800	BEL	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2012, 2015, 2016]	2012	2016	3	2	3
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	56	Belgium	M	Male	_X	Not Available or not specified	PWD	Persons without disability	SEX__AGE__DISABILITY_STATUS	M___X__PWD	Male, not available or not specified, persons without disability	1800	BEL	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2012, 2015, 2016]	2012	2016	3	2	3
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	56	Belgium	F	Female	_X	Not Available or not specified	PWD	Persons without disability	SEX__AGE__DISABILITY_STATUS	F___X__PWD	Female, not available or not specified, persons without disability	1800	BEL	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2012, 2015, 2016]	2012	2016	3	2	3
I.10	Ia3981659	Unemployment rate, by sex, age and persons with disabilities	S36180f12	Unemployment rate, by sex and disability	72	Botswana	M	Male	_X	Not Available or not specified	PWD	Persons without disability	SEX__AGE__DISABILITY_STATUS	M___X__PWD	Male, not available or not specified, persons without disability	1800	BWA	23.81380223	-22.18810073	1.0	4	Country or Area	Sub-Saharan Africa	[2009, 2019]	2009	2019	2	1	1
