INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	max_year	min_year	data_points	data_points_lag5	disaggregated_by_age	disaggregated_by_age_n	disaggregated_by_sex	disaggregated_by_sex_n
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	8	Albania	2011	2011	12	0	[2011]	1	[2011]	1
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	12	Algeria	2012	2012	8	0	[2012]	1	[2012]	1
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	32	Argentina	2013	2005	15	0	[2013]	1	[2005, 2010, 2013]	3
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	51	Armenia	2008	2004	37	0	[2008]	1	[2008, 2004]	2
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	36	Australia	2006	2006	2	0	[]	0	[2006]	1
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	40	Austria	2009	2009	42	0	[2009]	1	[2009]	1
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	31	Azerbaijan	2008	2008	2	0	[]	0	[2008]	1
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	112	Belarus	2015	2015	2	2	[]	0	[2015]	1
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	56	Belgium	2013	2000	18	0	[2013]	1	[2000, 2005, 2013]	3
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	64	Bhutan	2015	2007	4	2	[]	0	[2007, 2015]	2
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	68	Bolivia (Plurinational State of)	2001	2001	16	0	[2001]	1	[2001]	1
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	76	Brazil	2012	2009	18	0	[2012]	1	[2009, 2012]	2
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	100	Bulgaria	2010	2002	4	0	[]	0	[2010, 2002]	2
