INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	AGE	AGE_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	15	Northern Africa	F	Female	Y15T19	15 to 19 years old	SEX__AGE	F__Y15T19	Female, 15 to 19 years old	8400					2	Sub-region	Northern Africa and Western Asia	[2003, 2008, 2013, 2018]	2003	2018	4	1	2
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	202	Sub-Saharan Africa	F	Female	Y15T19	15 to 19 years old	SEX__AGE	F__Y15T19	Female, 15 to 19 years old	8400					2	Sub-region	Sub-Saharan Africa	[2003, 2008, 2013, 2018]	2003	2018	4	1	2
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	120	Cameroon	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	8400	CMR	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[2004]	2004	2004	1	0	0
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	262	Djibouti	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	8400	DJI	42.18274707	11.56004161	1.0	4	Country or Area	Sub-Saharan Africa	[2006]	2006	2006	1	0	0
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	706	Somalia	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	8400	SOM	46.20367477	4.406485729	1.0	4	Country or Area	Sub-Saharan Africa	[2006]	2006	2006	1	0	0
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	140	Central African Republic	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	8400	CAF	20.93559492	7.003720791	1.0	4	Country or Area	Sub-Saharan Africa	[2010]	2010	2010	1	0	1
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	232	Eritrea	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	8400	ERI	38.11074289	16.12894644	1.0	4	Country or Area	Sub-Saharan Africa	[2010]	2010	2010	1	0	1
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	854	Burkina Faso	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	8400	BFA	-1.742843829	12.27491081	1.0	4	Country or Area	Sub-Saharan Africa	[2010]	2010	2010	1	0	1
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	288	Ghana	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	8400	GHA	-1.205623522	7.964825185	1.0	4	Country or Area	Sub-Saharan Africa	[2011]	2011	2011	1	0	1
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	562	Niger	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	8400	NER	9.400167877	17.42143036	1.0	4	Country or Area	Sub-Saharan Africa	[2012]	2012	2012	1	0	1
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	270	Gambia	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	8400	GMB	-15.39944785	13.45295927	1.0	4	Country or Area	Sub-Saharan Africa	[2013]	2013	2013	1	0	1
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	430	Liberia	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	8400	LBR	-9.311879038	6.448381009	1.0	4	Country or Area	Sub-Saharan Africa	[2013]	2013	2013	1	0	1
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	887	Yemen	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	8400	YEM	45.22389143	15.22242099	1.0	4	Country or Area	Northern Africa and Western Asia	[2013]	2013	2013	1	0	1
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	204	Benin	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	8400	BEN	2.339933594	9.65401646	1.0	4	Country or Area	Sub-Saharan Africa	[2014]	2014	2014	1	0	1
V.3	I241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	S241a26cf	Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age	404	Kenya	F	Female	Y15T49	15 to 49 years old	SEX__AGE	F__Y15T49	Female, 15 to 49 years old	8400	KEN	37.86096816	0.534797278	1.0	4	Country or Area	Sub-Saharan Africa	[2014]	2014	2014	1	0	1
