INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	36	Australia	F	Female	SEX	F	Female	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2008]	2008	2008	1	0	0
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	4	Afghanistan	F	Female	SEX	F	Female	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2010, 2011, 2014, 2015]	2010	2015	4	1	4
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	50	Bangladesh	F	Female	SEX	F	Female	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[1997, 2000, 2001, 2004, 2007, 2010, 2011, 2013, 2014]	1997	2014	9	0	4
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	64	Bhutan	F	Female	SEX	F	Female	90.45098484	27.39598568	1.0	4	Country or Area	Central and Southern Asia	[2010, 2012, 2015]	2010	2015	3	1	3
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	356	India	F	Female	SEX	F	Female	79.3608464	22.34642074	1.0	4	Country or Area	Central and Southern Asia	[1999, 2006, 2014, 2016]	1999	2016	4	1	2
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	364	Iran (Islamic Republic of)	F	Female	SEX	F	Female	54.19766348	32.74370885	1.0	4	Country or Area	Central and Southern Asia	[2005]	2005	2005	1	0	0
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	398	Kazakhstan	F	Female	SEX	F	Female	66.65359159	48.01963494	1.0	4	Country or Area	Central and Southern Asia	[1995, 1999, 2011, 2015]	1995	2015	4	1	2
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	417	Kyrgyzstan	F	Female	SEX	F	Female	74.52324839	41.46204516	1.0	4	Country or Area	Central and Southern Asia	[1997, 2012, 2014]	1997	2014	3	0	2
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	462	Maldives	F	Female	SEX	F	Female	73.09672546	-0.614385021	1.0	4	Country or Area	Central and Southern Asia	[1999, 2004, 2009]	1999	2009	3	0	0
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	524	Nepal	F	Female	SEX	F	Female	83.94678863	28.25866332	1.0	4	Country or Area	Central and Southern Asia	[1996, 2001, 2006, 2011, 2014, 2016]	1996	2016	6	1	3
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	586	Pakistan	F	Female	SEX	F	Female	68.80479684	29.36491634	1.0	4	Country or Area	Central and Southern Asia	[2007, 2013, 2018]	2007	2018	3	1	2
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	144	Sri Lanka	F	Female	SEX	F	Female	80.70489654	7.614693343	1.0	4	Country or Area	Central and Southern Asia	[2007]	2007	2007	1	0	0
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	762	Tajikistan	F	Female	SEX	F	Female	69.294998	38.43069666	1.0	4	Country or Area	Central and Southern Asia	[2007, 2012, 2017]	2007	2017	3	1	2
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	795	Turkmenistan	F	Female	SEX	F	Female	58.9787665	40.0912346	1.0	4	Country or Area	Central and Southern Asia	[2000, 2016]	2000	2016	2	1	1
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	860	Uzbekistan	F	Female	SEX	F	Female	63.11944558	41.77560518	1.0	4	Country or Area	Central and Southern Asia	[1996]	1996	1996	1	0	0
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	96	Brunei Darussalam	F	Female	SEX	F	Female	114.6288563	4.49736984	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2012]	2012	2012	1	0	1
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	116	Cambodia	F	Female	SEX	F	Female	104.922836	12.71163737	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2000, 2005, 2010, 2014]	2000	2014	4	0	2
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	156	China	F	Female	SEX	F	Female	104.1403375	32.30955217	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2013]	2013	2013	1	0	1
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	408	Democratic People's Republic of Korea	F	Female	SEX	F	Female	127.1803633	40.1462645	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2009, 2017]	2009	2017	2	1	1
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	360	Indonesia	F	Female	SEX	F	Female	113.9174	-0.994582204	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1997, 2003, 2007, 2012, 2013]	1997	2013	5	0	2
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	418	Lao People's Democratic Republic	F	Female	SEX	F	Female	101.9901968	20.27482773	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2012]	2012	2012	1	0	1
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	496	Mongolia	F	Female	SEX	F	Female	103.0728057	46.83892054	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2010, 2013, 2014]	2010	2014	3	0	3
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	104	Myanmar	F	Female	SEX	F	Female	96.51752295	21.19332882	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2001, 2007, 2016]	2001	2016	3	1	1
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	608	Philippines	F	Female	SEX	F	Female	120.8601418	14.16591706	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1998, 2003, 2008, 2011, 2013, 2017]	1998	2017	6	1	3
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	410	Republic of Korea	F	Female	SEX	F	Female	127.8610254	36.45201023	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2012]	2012	2012	1	0	1
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	764	Thailand	F	Female	SEX	F	Female	101.0202951	15.13089239	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2009, 2012, 2013, 2016]	2009	2016	4	1	3
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	626	Timor-Leste	F	Female	SEX	F	Female	125.9451052	-8.797497247	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2003, 2010, 2016]	2003	2016	3	1	2
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	704	Viet Nam	F	Female	SEX	F	Female	105.802499	10.09643079	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1997, 2002, 2011, 2014]	1997	2014	4	0	2
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	8	Albania	F	Female	SEX	F	Female	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2002, 2009]	2002	2009	2	0	0
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	112	Belarus	F	Female	SEX	F	Female	28.04940161	53.54193075	1.0	4	Country or Area	Europe and Northern America	[2012]	2012	2012	1	0	1
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	70	Bosnia and Herzegovina	F	Female	SEX	F	Female	17.78584332	44.16845548	1.0	4	Country or Area	Europe and Northern America	[2012]	2012	2012	1	0	1
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	124	Canada	F	Female	SEX	F	Female	-101.6575058	57.72360191	1.0	4	Country or Area	Europe and Northern America	[2007]	2007	2007	1	0	0
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	191	Croatia	F	Female	SEX	F	Female	17.95874553	45.45172212	1.0	4	Country or Area	Europe and Northern America	[2014, 2015]	2014	2015	2	1	2
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	233	Estonia	F	Female	SEX	F	Female	25.84093481	58.68487172	1.0	4	Country or Area	Europe and Northern America	[2014]	2014	2014	1	0	1
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	250	France	F	Female	SEX	F	Female	2.457288129	46.62660861	1.0	4	Country or Area	Europe and Northern America	[2010]	2010	2010	1	0	1
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	276	Germany	F	Female	SEX	F	Female	10.3806066	51.08862743	1.0	4	Country or Area	Europe and Northern America	[2014]	2014	2014	1	0	1
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	380	Italy	F	Female	SEX	F	Female	12.57022427	42.79917282	1.0	4	Country or Area	Europe and Northern America	[2003]	2003	2003	1	0	0
III.4	682508c0	Antenatal care coverage	7cdd10b8	Antenatal care coverage, at least four visits	442	Luxembourg	F	Female	SEX	F	Female	6.092656563	49.77679538	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
