INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	AGE	AGE_DESC	VIOLENCE_TYPE	VIOLENCE_TYPE_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
V.1	Ia8b55125	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	S9a5e3c3a	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age	4	Afghanistan	F	Female	Y_GE15	15 years old and over	PHY+SEX	Physical and sexual	SEX__AGE__VIOLENCE_TYPE	F__Y_GE15__PHY+SEX	Female, 15 years old and over, physical and sexual	8100	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2018]	2018	2018	1	1	1
V.1	Ia8b55125	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	S9a5e3c3a	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age	8	Albania	F	Female	Y_GE15	15 years old and over	PHY+SEX	Physical and sexual	SEX__AGE__VIOLENCE_TYPE	F__Y_GE15__PHY+SEX	Female, 15 years old and over, physical and sexual	8100	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2018]	2018	2018	1	1	1
V.1	Ia8b55125	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	S9a5e3c3a	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age	24	Angola	F	Female	Y_GE15	15 years old and over	PHY+SEX	Physical and sexual	SEX__AGE__VIOLENCE_TYPE	F__Y_GE15__PHY+SEX	Female, 15 years old and over, physical and sexual	8100	AGO	17.57817062	-12.33724746	1.0	4	Country or Area	Sub-Saharan Africa	[2018]	2018	2018	1	1	1
V.1	Ia8b55125	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	S9a5e3c3a	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age	31	Azerbaijan	F	Female	Y_GE15	15 years old and over	PHY+SEX	Physical and sexual	SEX__AGE__VIOLENCE_TYPE	F__Y_GE15__PHY+SEX	Female, 15 years old and over, physical and sexual	8100	AZE	50.01064725	40.39229544	1.0	4	Country or Area	Northern Africa and Western Asia	[2018]	2018	2018	1	1	1
V.1	Ia8b55125	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	S9a5e3c3a	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age	32	Argentina	F	Female	Y_GE15	15 years old and over	PHY+SEX	Physical and sexual	SEX__AGE__VIOLENCE_TYPE	F__Y_GE15__PHY+SEX	Female, 15 years old and over, physical and sexual	8100	ARG	-65.14563274	-35.19446255	1.0	4	Country or Area	Latin America and the Caribbean	[2018]	2018	2018	1	1	1
V.1	Ia8b55125	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	S9a5e3c3a	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age	36	Australia	F	Female	Y_GE15	15 years old and over	PHY+SEX	Physical and sexual	SEX__AGE__VIOLENCE_TYPE	F__Y_GE15__PHY+SEX	Female, 15 years old and over, physical and sexual	8100	AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2018]	2018	2018	1	1	1
V.1	Ia8b55125	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	S9a5e3c3a	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age	40	Austria	F	Female	Y_GE15	15 years old and over	PHY+SEX	Physical and sexual	SEX__AGE__VIOLENCE_TYPE	F__Y_GE15__PHY+SEX	Female, 15 years old and over, physical and sexual	8100	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2018]	2018	2018	1	1	1
V.1	Ia8b55125	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	S9a5e3c3a	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age	50	Bangladesh	F	Female	Y_GE15	15 years old and over	PHY+SEX	Physical and sexual	SEX__AGE__VIOLENCE_TYPE	F__Y_GE15__PHY+SEX	Female, 15 years old and over, physical and sexual	8100	BGD	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2018]	2018	2018	1	1	1
V.1	Ia8b55125	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	S9a5e3c3a	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age	51	Armenia	F	Female	Y_GE15	15 years old and over	PHY+SEX	Physical and sexual	SEX__AGE__VIOLENCE_TYPE	F__Y_GE15__PHY+SEX	Female, 15 years old and over, physical and sexual	8100	ARM	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[2018]	2018	2018	1	1	1
V.1	Ia8b55125	Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age	S9a5e3c3a	Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age	56	Belgium	F	Female	Y_GE15	15 years old and over	PHY+SEX	Physical and sexual	SEX__AGE__VIOLENCE_TYPE	F__Y_GE15__PHY+SEX	Female, 15 years old and over, physical and sexual	8100	BEL	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2018]	2018	2018	1	1	1
