INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	URBANIZATION	URBANIZATION_DESC	INCOME_WEALTH_QUANTILE	INCOME_WEALTH_QUANTILE_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
II.5	Ief9e0d38	Completion rate (primary education)	Sc5211ad2	Completion rate, by sex, location and wealth quintile, primary education	4	Afghanistan	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	_T	All areas	Q4	Quintile 4	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_1___T__Q4	Both sexes or no breakdown by sex, primary education, all areas, quintile 4	4300	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2011, 2015]	2011	2015	2	1	2
II.5	Ief9e0d38	Completion rate (primary education)	Sc5211ad2	Completion rate, by sex, location and wealth quintile, primary education	4	Afghanistan	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	_T	All areas	Q5	Quintile 5 (richest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_1___T__Q5	Both sexes or no breakdown by sex, primary education, all areas, quintile 5 (richest)	4300	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2011, 2015]	2011	2015	2	1	2
II.5	Ief9e0d38	Completion rate (primary education)	Sc5211ad2	Completion rate, by sex, location and wealth quintile, primary education	4	Afghanistan	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	_T	All areas	Q2	Quintile 2	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_1___T__Q2	Both sexes or no breakdown by sex, primary education, all areas, quintile 2	4300	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2011, 2015]	2011	2015	2	1	2
II.5	Ief9e0d38	Completion rate (primary education)	Sc5211ad2	Completion rate, by sex, location and wealth quintile, primary education	4	Afghanistan	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	_T	All areas	Q1	Quintile 1 (poorest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_1___T__Q1	Both sexes or no breakdown by sex, primary education, all areas, quintile 1 (poorest)	4300	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2011, 2015]	2011	2015	2	1	2
II.5	Ief9e0d38	Completion rate (primary education)	Sc5211ad2	Completion rate, by sex, location and wealth quintile, primary education	4	Afghanistan	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	_T	All areas	Q3	Quintile 3	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_1___T__Q3	Both sexes or no breakdown by sex, primary education, all areas, quintile 3	4300	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2011, 2015]	2011	2015	2	1	2
II.5	Ief9e0d38	Completion rate (primary education)	Sc5211ad2	Completion rate, by sex, location and wealth quintile, primary education	4	Afghanistan	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	_T	All areas	_T	Total (national average) or no breakdown	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_1___T___T	Both sexes or no breakdown by sex, primary education, all areas, total (national average) or no breakdown	4300	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2011, 2015]	2011	2015	2	1	2
II.5	Ief9e0d38	Completion rate (primary education)	Sc5211ad2	Completion rate, by sex, location and wealth quintile, primary education	8	Albania	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	_T	All areas	Q1	Quintile 1 (poorest)	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_1___T__Q1	Both sexes or no breakdown by sex, primary education, all areas, quintile 1 (poorest)	4300	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2000, 2005, 2009, 2017]	2000	2017	4	1	1
II.5	Ief9e0d38	Completion rate (primary education)	Sc5211ad2	Completion rate, by sex, location and wealth quintile, primary education	8	Albania	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	_T	All areas	Q4	Quintile 4	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_1___T__Q4	Both sexes or no breakdown by sex, primary education, all areas, quintile 4	4300	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2000, 2005, 2009, 2017]	2000	2017	4	1	1
II.5	Ief9e0d38	Completion rate (primary education)	Sc5211ad2	Completion rate, by sex, location and wealth quintile, primary education	8	Albania	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	_T	All areas	_T	Total (national average) or no breakdown	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_1___T___T	Both sexes or no breakdown by sex, primary education, all areas, total (national average) or no breakdown	4300	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2000, 2005, 2009, 2017]	2000	2017	4	1	1
II.5	Ief9e0d38	Completion rate (primary education)	Sc5211ad2	Completion rate, by sex, location and wealth quintile, primary education	8	Albania	_T	Both sexes or no breakdown by sex	ISCED11_1	Primary education	_T	All areas	Q3	Quintile 3	SEX__EDUCATION_LEV__URBANIZATION__INCOME_WEALTH_QUANTILE	_T__ISCED11_1___T__Q3	Both sexes or no breakdown by sex, primary education, all areas, quintile 3	4300	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2000, 2005, 2009, 2017]	2000	2017	4	1	1
