INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	9	Oceania	F	Female				1	Region		[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	15	Northern Africa	F	Female				2	Sub-region	Northern Africa and Western Asia	[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	21	Northern America	F	Female				2	Sub-region	Europe and Northern America	[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	30	Eastern Asia	F	Female				2	Sub-region	Eastern and South-Eastern Asia	[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	34	Southern Asia	F	Female				2	Sub-region	Central and Southern Asia	[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	35	South-Eastern Asia	F	Female				2	Sub-region	Eastern and South-Eastern Asia	[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	53	Australia and New Zealand	F	Female				2	Sub-region	Australia and New Zealand	[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	62	Central and Southern Asia	F	Female				2	Sub-region	Central and Southern Asia	[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	143	Central Asia	F	Female				2	Sub-region	Central and Southern Asia	[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	145	Western Asia	F	Female				2	Sub-region	Northern Africa and Western Asia	[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	150	Europe	F	Female				1	Region	Europe and Northern America	[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	199	Least Developed Countries (LDCs)	F	Female				1	Region		[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	202	Sub-Saharan Africa	F	Female				2	Sub-region	Sub-Saharan Africa	[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	419	Latin America and the Caribbean	F	Female				2	Sub-region	Latin America and the Caribbean	[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	432	Landlocked developing countries (LLDCs)	F	Female				1	Region		[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	513	Europe and Northern America	F	Female				1	Region	Europe and Northern America	[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	722	Small island developing States (SIDS)	F	Female				1	Region		[2003, 2009, 2018]	2003	2018	3	1	1
36	Proportion of births attended by skilled health personnel	30	Proportion of births attended by skilled health personnel	747	Northern Africa and Western Asia	F	Female				2	Sub-region	Northern Africa and Western Asia	[2003, 2009, 2018]	2003	2018	3	1	1
