INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	EDUCATION_LEV	EDUCATION_LEV_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
II.10	d2dc1714	Gross graduation ratio from lower secondary education, by sex	d2dc1714	Gross graduation ratio from lower secondary education, by sex (retired)	554	New Zealand	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	SEX__EDUCATION_LEV	_T__ISCED11_2	Both sexes or no breakdown by sex, lower secondary education	170.4755673	-43.98721568	1.0	4	Country or Area	Australia and New Zealand	[2013, 2014, 2015, 2016]	2013	2016	4	2	4
II.10	d2dc1714	Gross graduation ratio from lower secondary education, by sex	d2dc1714	Gross graduation ratio from lower secondary education, by sex (retired)	356	India	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	SEX__EDUCATION_LEV	_T__ISCED11_2	Both sexes or no breakdown by sex, lower secondary education	79.3608464	22.34642074	1.0	4	Country or Area	Central and Southern Asia	[2016]	2016	2016	1	1	1
II.10	d2dc1714	Gross graduation ratio from lower secondary education, by sex	d2dc1714	Gross graduation ratio from lower secondary education, by sex (retired)	398	Kazakhstan	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	SEX__EDUCATION_LEV	_T__ISCED11_2	Both sexes or no breakdown by sex, lower secondary education	66.65359159	48.01963494	1.0	4	Country or Area	Central and Southern Asia	[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2009	2017	9	3	8
II.10	d2dc1714	Gross graduation ratio from lower secondary education, by sex	d2dc1714	Gross graduation ratio from lower secondary education, by sex (retired)	364	Iran (Islamic Republic of)	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	SEX__EDUCATION_LEV	_T__ISCED11_2	Both sexes or no breakdown by sex, lower secondary education	54.19766348	32.74370885	1.0	4	Country or Area	Central and Southern Asia	[2006, 2007, 2009, 2013, 2014, 2015]	2006	2015	6	1	3
II.10	d2dc1714	Gross graduation ratio from lower secondary education, by sex	d2dc1714	Gross graduation ratio from lower secondary education, by sex (retired)	50	Bangladesh	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	SEX__EDUCATION_LEV	_T__ISCED11_2	Both sexes or no breakdown by sex, lower secondary education	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2006, 2007, 2016]	2006	2016	3	1	1
II.10	d2dc1714	Gross graduation ratio from lower secondary education, by sex	d2dc1714	Gross graduation ratio from lower secondary education, by sex (retired)	64	Bhutan	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	SEX__EDUCATION_LEV	_T__ISCED11_2	Both sexes or no breakdown by sex, lower secondary education	90.45098484	27.39598568	1.0	4	Country or Area	Central and Southern Asia	[2008, 2009, 2012, 2013, 2014, 2015, 2016]	2008	2016	7	2	5
II.10	d2dc1714	Gross graduation ratio from lower secondary education, by sex	d2dc1714	Gross graduation ratio from lower secondary education, by sex (retired)	4	Afghanistan	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	SEX__EDUCATION_LEV	_T__ISCED11_2	Both sexes or no breakdown by sex, lower secondary education	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2012, 2013, 2014, 2017]	2012	2017	4	1	4
II.10	d2dc1714	Gross graduation ratio from lower secondary education, by sex	d2dc1714	Gross graduation ratio from lower secondary education, by sex (retired)	144	Sri Lanka	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	SEX__EDUCATION_LEV	_T__ISCED11_2	Both sexes or no breakdown by sex, lower secondary education	80.70489654	7.614693343	1.0	4	Country or Area	Central and Southern Asia	[2011, 2012, 2013]	2011	2013	3	0	3
II.10	d2dc1714	Gross graduation ratio from lower secondary education, by sex	d2dc1714	Gross graduation ratio from lower secondary education, by sex (retired)	860	Uzbekistan	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	SEX__EDUCATION_LEV	_T__ISCED11_2	Both sexes or no breakdown by sex, lower secondary education	63.11944558	41.77560518	1.0	4	Country or Area	Central and Southern Asia	[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]	2006	2017	12	3	8
II.10	d2dc1714	Gross graduation ratio from lower secondary education, by sex	d2dc1714	Gross graduation ratio from lower secondary education, by sex (retired)	762	Tajikistan	_T	Both sexes or no breakdown by sex	ISCED11_2	Lower secondary education	SEX__EDUCATION_LEV	_T__ISCED11_2	Both sexes or no breakdown by sex, lower secondary education	69.294998	38.43069666	1.0	4	Country or Area	Central and Southern Asia	[2008, 2009, 2010, 2011, 2014, 2015, 2016, 2017]	2008	2017	8	3	6
