INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
I.2	a18d1dbf	Extent of country commitment to support reconciliation of work and family life	299b1381	Whether or not ratified ILO convention 177 on home work	246	Finland				23.308447	61.91586738	1.0	4	Country or Area	Europe and Northern America	[1998]	1998	1998	1	0	0
I.2	a18d1dbf	Extent of country commitment to support reconciliation of work and family life	299b1381	Whether or not ratified ILO convention 177 on home work	372	Ireland				-7.121425272	53.25274054	1.0	4	Country or Area	Europe and Northern America	[1999]	1999	1999	1	0	0
I.2	a18d1dbf	Extent of country commitment to support reconciliation of work and family life	299b1381	Whether or not ratified ILO convention 177 on home work	8	Albania				20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2002]	2002	2002	1	0	0
I.2	a18d1dbf	Extent of country commitment to support reconciliation of work and family life	299b1381	Whether or not ratified ILO convention 177 on home work	528	Netherlands				5.331480568	51.86728884	1.0	4	Country or Area	Europe and Northern America	[2002]	2002	2002	1	0	0
I.2	a18d1dbf	Extent of country commitment to support reconciliation of work and family life	299b1381	Whether or not ratified ILO convention 177 on home work	32	Argentina				-65.14563274	-35.19446255	1.0	4	Country or Area	Latin America and the Caribbean	[2006]	2006	2006	1	0	0
I.2	a18d1dbf	Extent of country commitment to support reconciliation of work and family life	299b1381	Whether or not ratified ILO convention 177 on home work	100	Bulgaria				25.23763153	42.75731323	1.0	4	Country or Area	Europe and Northern America	[2009]	2009	2009	1	0	0
I.2	a18d1dbf	Extent of country commitment to support reconciliation of work and family life	299b1381	Whether or not ratified ILO convention 177 on home work	70	Bosnia and Herzegovina				17.78584332	44.16845548	1.0	4	Country or Area	Europe and Northern America	[2010]	2010	2010	1	0	1
I.2	a18d1dbf	Extent of country commitment to support reconciliation of work and family life	299b1381	Whether or not ratified ILO convention 177 on home work	762	Tajikistan				69.294998	38.43069666	1.0	4	Country or Area	Central and Southern Asia	[2012]	2012	2012	1	0	1
I.2	a18d1dbf	Extent of country commitment to support reconciliation of work and family life	299b1381	Whether or not ratified ILO convention 177 on home work	56	Belgium				4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2012]	2012	2012	1	0	1
I.2	a18d1dbf	Extent of country commitment to support reconciliation of work and family life	299b1381	Whether or not ratified ILO convention 177 on home work	807	North Macedonia				21.7007909	41.60048068	1.0	4	Country or Area	Europe and Northern America	[2012]	2012	2012	1	0	1
