INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	4	Afghanistan				9800	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	144	Sri Lanka				9800	LKA	80.70489654	7.614693343	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	524	Nepal				9800	NPL	83.94678863	28.25866332	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	56	Belgium				9800	BEL	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	276	Germany				9800	DEU	10.3806066	51.08862743	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	300	Greece				9800	GRC	22.58307827	39.47301873	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	304	Greenland				9800	GRL	-41.39371316	74.75625681		4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	380	Italy				9800	ITA	12.57022427	42.79917282	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	438	Liechtenstein				9800	LIE	9.552985019	47.14167005	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	442	Luxembourg				9800	LUX	6.092656563	49.77679538	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	643	Russian Federation				9800	RUS	99.01404926	61.61899849	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	724	Spain				9800	ESP	-3.554078296	40.39211472	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	840	United States of America				9800	USA	-99.13830311	39.5277871	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	434	Libya				9800	LBY	18.0295985	27.04042819	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	316	Guam				9800	GUM	144.7029305	13.35485404		4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	520	Nauru				9800	NRU	166.92313	-0.528742623	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	585	Palau				9800	PLW	134.5733878	7.502307591	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	24	Angola				9800	AGO	17.57817062	-12.33724746	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	108	Burundi				9800	BDI	29.89080992	-3.366387428	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	132	Cabo Verde				9800	CPV	-23.63544151	15.07791834	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	174	Comoros				9800	COM	43.34234565	-11.66121732	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	226	Equatorial Guinea				9800	GNQ	10.46535826	1.565792376	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	266	Gabon				9800	GAB	11.78727747	-0.60687619	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	430	Liberia				9800	LBR	-9.311879038	6.448381009	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	450	Madagascar				9800	MDG	46.6982339	-19.38514785	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	454	Malawi				9800	MWI	33.4884625	-13.40819859	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QIV.3	I04c00dff	Existence of law on gender statistics	S04c00dff	Existence of law on gender statistics	624	Guinea-Bissau				9800	GNB	-14.40182514	12.11760394	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
