INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	AGE	AGE_DESC	SEX	SEX_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	50	Bangladesh	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	BGD	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2000, 2004, 2007, 2011, 2013, 2014, 2018, 2019]	2000	2019	8	2	5
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	268	Georgia	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	GEO	43.3713615	42.04813028	1.0	4	Country or Area	Northern Africa and Western Asia	[2000, 2005, 2010, 2018]	2000	2018	4	1	2
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	478	Mauritania	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	MRT	-10.33187259	20.26089546	1.0	4	Country or Area	Sub-Saharan Africa	[2001, 2007, 2011, 2015]	2001	2015	4	1	2
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	586	Pakistan	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	PAK	68.80479684	29.36491634	1.0	4	Country or Area	Central and Southern Asia	[2001, 2007, 2013, 2018]	2001	2018	4	1	2
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	800	Uganda	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	UGA	32.39100438	1.279557331	1.0	4	Country or Area	Sub-Saharan Africa	[2001, 2006, 2011, 2014, 2015, 2016, 2017, 2018]	2001	2018	8	4	6
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	894	Zambia	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	ZMB	27.850329	-14.59701056	1.0	4	Country or Area	Sub-Saharan Africa	[2002, 2007, 2014, 2018]	2002	2018	4	1	2
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	222	El Salvador	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	SLV	-88.86862995	13.73603564	1.0	4	Country or Area	Latin America and the Caribbean	[2003, 2008, 2014]	2003	2014	3	0	1
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	360	Indonesia	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	IDN	113.9174	-0.994582204	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2003, 2008, 2012, 2015, 2016, 2017]	2003	2017	6	3	4
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	388	Jamaica	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	JAM	-77.31068409	18.15616857	1.0	4	Country or Area	Latin America and the Caribbean	[2003, 2009]	2003	2009	2	0	0
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	356	India	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	IND	79.3608464	22.34642074	1.0	4	Country or Area	Central and Southern Asia	[2003, 2006, 2008, 2016]	2003	2016	4	1	1
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	68	Bolivia (Plurinational State of)	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	BOL	-64.66224284	-16.71273412	1.0	4	Country or Area	Latin America and the Caribbean	[2004, 2008, 2016]	2004	2016	3	1	1
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	450	Madagascar	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	MDG	46.6982339	-19.38514785	1.0	4	Country or Area	Sub-Saharan Africa	[2004, 2009, 2017, 2018]	2004	2018	4	2	2
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	504	Morocco	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	MAR	-6.281942841	31.8440131	1.0	4	Country or Area	Northern Africa and Western Asia	[2004, 2011, 2018]	2004	2018	3	1	2
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	508	Mozambique	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	MOZ	38.18479941	-14.27963886	1.0	4	Country or Area	Sub-Saharan Africa	[2004, 2011, 2015]	2004	2015	3	1	2
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	710	South Africa	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	ZAF	24.67184355	-29.99957544	1.0	4	Country or Area	Sub-Saharan Africa	[2004, 2016]	2004	2016	2	1	1
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	792	Turkey	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	TUR	35.42890329	38.9899684	1.0	4	Country or Area	Northern Africa and Western Asia	[2004, 2008, 2014, 2018]	2004	2018	4	1	2
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	170	Colombia	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	COL	-73.07446751	3.888209046	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2005, 2010, 2016]	2000	2016	4	1	2
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	250	France	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	FRA	2.457288129	46.62660861	1.0	4	Country or Area	Europe and Northern America	[2005]	2005	2005	1	0	0
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	426	Lesotho	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	LSO	28.25362195	-29.58041814	1.0	4	Country or Area	Sub-Saharan Africa	[2005, 2010, 2014, 2018]	2005	2018	4	1	3
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	454	Malawi	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	MWI	33.4884625	-13.40819859	1.0	4	Country or Area	Sub-Saharan Africa	[2000, 2005, 2010, 2014, 2016]	2000	2016	5	1	3
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	834	United Republic of Tanzania	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	TZA	34.80521182	-6.265332606	1.0	4	Country or Area	Sub-Saharan Africa	[2005, 2010, 2016]	2005	2016	3	1	2
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	604	Peru	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	PER	-71.82093277	-13.58939705	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2005, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	13	4	9
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	116	Cambodia	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	KHM	104.922836	12.71163737	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2000, 2006, 2011, 2014]	2000	2014	4	0	2
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	332	Haiti	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	HTI	-72.33640958	18.40426539	1.0	4	Country or Area	Latin America and the Caribbean	[2000, 2006, 2012, 2017]	2000	2017	4	1	2
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	340	Honduras	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	HND	-86.59974381	14.82243161	1.0	4	Country or Area	Latin America and the Caribbean	[2001, 2006, 2012]	2001	2012	3	0	1
III.1	I97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	S97572e77	Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods	716	Zimbabwe	Y15T49	15 to 49 years old	F	Female	AGE__SEX	Y15T49__F	15 to 49 years old, female	5700	ZWE	29.86909584	-19.00075492	1.0	4	Country or Area	Sub-Saharan Africa	[2006, 2011, 2014, 2015]	2006	2015	4	1	3
