INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	N_countries	N_countries_lag10	N_countries_lag5	N_countries_sex	N_countries_age
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	72	Average number of hours spent on domestic chores and care work, by sex, age and location	91	65	23	91	55
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	88	Average number of hours spent on unpaid care work, by sex, age and location	82	63	23	81	44
1	Average number of hours spent on unpaid domestic and care work, by sex, age and location	87	Average number of hours spent on unpaid domestic chores, by sex, age and location	82	63	23	82	44
2	Average number of hours spent on total work (total work burden), by sex	73	Average number of hours spent on total work combined (total work burden), by sex	83	57	13	83	11
3	Labour force participation rates for persons aged 15-24 and 15+, by sex	2	Labour force participation rate for persons aged 15+, by sex	219	190	133	215	0
3	Labour force participation rates for persons aged 15-24 and 15+, by sex	1	Labour force participation rate for persons aged 15-24, by sex	207	165	120	205	0
4	Proportion of employed who are own-account workers, by sex	3	Proportion of employed who are own-account workers, by sex	183	157	113	180	0
5	Proportion of employed who are contributing family workers, by sex	4	Proportion of employed who are contributing family workers, by sex	364	302	218	362	1
6	Proportion of employed who are employers, by sex	5	Proportion of employed who are employers, by sex	180	153	112	179	0
8	Percentage distribution of employed population by sector, each sex (Sectors here refer to Agriculture; Industry; Services)	8	Percentage distribution of employed population in service sector, by sex	140	128	98	138	0
8	Percentage distribution of employed population by sector, each sex (Sectors here refer to Agriculture; Industry; Services)	7	Percentage distribution of employed population in industrial sector, by sex	141	129	99	139	0
8	Percentage distribution of employed population by sector, each sex (Sectors here refer to Agriculture; Industry; Services)	6	Percentage distribution of employed population in agricultural sector, by sex	138	127	96	137	0
9	Proportion of informal employment in non agriculture employment, by sex	74	Proportion of informal employment in non-agriculture employment, by sex	71	68	52	71	0
10	Unemployment rate, by sex, age and persons with disabilities	108	Unemployment rate, by sex and age	201	178	142	196	185
11	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex	80	Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider, by sex	177	177	162	177	0
13	Gender gap in wages, by occupation, age and persons with disabilities	82	Gender gap in wages, by occupation, age and persons with disabilities	65	61	23	64	0
