INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	AGE	AGE_DESC	URBANIZATION	URBANIZATION_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	8	Albania	F	Female	Y_GE65	65 years old and over	U	Urban	SEX__AGE__URBANIZATION	F__Y_GE65__U	Female, 65 years old and over, urban	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	8	Albania	M	Male	Y_GE65	65 years old and over	U	Urban	SEX__AGE__URBANIZATION	M__Y_GE65__U	Male, 65 years old and over, urban	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	8	Albania	F	Female	Y_GE65	65 years old and over	R	Rural	SEX__AGE__URBANIZATION	F__Y_GE65__R	Female, 65 years old and over, rural	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	8	Albania	M	Male	Y_GE65	65 years old and over	R	Rural	SEX__AGE__URBANIZATION	M__Y_GE65__R	Male, 65 years old and over, rural	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	8	Albania	F	Female	Y_GE65	65 years old and over	_T	All areas	SEX__AGE__URBANIZATION	F__Y_GE65___T	Female, 65 years old and over, all areas	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	8	Albania	M	Male	Y_GE65	65 years old and over	_T	All areas	SEX__AGE__URBANIZATION	M__Y_GE65___T	Male, 65 years old and over, all areas	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	8	Albania	F	Female	Y_GE10	10 years old and over	U	Urban	SEX__AGE__URBANIZATION	F__Y_GE10__U	Female, 10 years old and over, urban	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	8	Albania	M	Male	Y_GE10	10 years old and over	U	Urban	SEX__AGE__URBANIZATION	M__Y_GE10__U	Male, 10 years old and over, urban	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	8	Albania	F	Female	Y_GE10	10 years old and over	R	Rural	SEX__AGE__URBANIZATION	F__Y_GE10__R	Female, 10 years old and over, rural	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	8	Albania	M	Male	Y_GE10	10 years old and over	R	Rural	SEX__AGE__URBANIZATION	M__Y_GE10__R	Male, 10 years old and over, rural	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	8	Albania	F	Female	Y_GE10	10 years old and over	_T	All areas	SEX__AGE__URBANIZATION	F__Y_GE10___T	Female, 10 years old and over, all areas	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	8	Albania	M	Male	Y_GE10	10 years old and over	_T	All areas	SEX__AGE__URBANIZATION	M__Y_GE10___T	Male, 10 years old and over, all areas	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2011]	2011	2011	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	12	Algeria	F	Female	Y15T24	15 to 24 years old	_T	All areas	SEX__AGE__URBANIZATION	F__Y15T24___T	Female, 15 to 24 years old, all areas	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2012]	2012	2012	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	12	Algeria	M	Male	Y15T24	15 to 24 years old	_T	All areas	SEX__AGE__URBANIZATION	M__Y15T24___T	Male, 15 to 24 years old, all areas	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2012]	2012	2012	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	12	Algeria	F	Female	Y_GE12	12 years old and over	U	Urban	SEX__AGE__URBANIZATION	F__Y_GE12__U	Female, 12 years old and over, urban	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2012]	2012	2012	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	12	Algeria	M	Male	Y_GE12	12 years old and over	U	Urban	SEX__AGE__URBANIZATION	M__Y_GE12__U	Male, 12 years old and over, urban	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2012]	2012	2012	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	12	Algeria	F	Female	Y_GE12	12 years old and over	R	Rural	SEX__AGE__URBANIZATION	F__Y_GE12__R	Female, 12 years old and over, rural	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2012]	2012	2012	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	12	Algeria	M	Male	Y_GE12	12 years old and over	R	Rural	SEX__AGE__URBANIZATION	M__Y_GE12__R	Male, 12 years old and over, rural	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2012]	2012	2012	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	12	Algeria	F	Female	Y_GE12	12 years old and over	_T	All areas	SEX__AGE__URBANIZATION	F__Y_GE12___T	Female, 12 years old and over, all areas	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2012]	2012	2012	1	0	1
I.1	98ba1fd8	Average number of hours spent on unpaid domestic and care work, by sex, age and location	c59d1d8b	Average number of hours spent on unpaid domestic chores, by sex, age and location	12	Algeria	M	Male	Y_GE12	12 years old and over	_T	All areas	SEX__AGE__URBANIZATION	M__Y_GE12___T	Male, 12 years old and over, all areas	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2012]	2012	2012	1	0	1
