INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	AGE	AGE_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
III.6	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	50	Bangladesh	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	SEX__AGE	_T__Y_GE15	Both sexes or no breakdown by sex, 15 years old and over	BGD	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2000, 2015, 2016]	2000	2016	3	2	2
III.6	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	144	Sri Lanka	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	SEX__AGE	_T__Y_GE15	Both sexes or no breakdown by sex, 15 years old and over	LKA	80.70489654	7.614693343	1.0	4	Country or Area	Central and Southern Asia	[2000, 2015, 2016]	2000	2016	3	2	2
III.6	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	356	India	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	SEX__AGE	_T__Y_GE15	Both sexes or no breakdown by sex, 15 years old and over	IND	79.3608464	22.34642074	1.0	4	Country or Area	Central and Southern Asia	[2000, 2015, 2016]	2000	2016	3	2	2
III.6	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	364	Iran (Islamic Republic of)	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	SEX__AGE	_T__Y_GE15	Both sexes or no breakdown by sex, 15 years old and over	IRN	54.19766348	32.74370885	1.0	4	Country or Area	Central and Southern Asia	[2000, 2015, 2016]	2000	2016	3	2	2
III.6	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	462	Maldives	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	SEX__AGE	_T__Y_GE15	Both sexes or no breakdown by sex, 15 years old and over	MDV	73.09672546	-0.614385021	1.0	4	Country or Area	Central and Southern Asia	[2000, 2015, 2016]	2000	2016	3	2	2
III.6	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	524	Nepal	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	SEX__AGE	_T__Y_GE15	Both sexes or no breakdown by sex, 15 years old and over	NPL	83.94678863	28.25866332	1.0	4	Country or Area	Central and Southern Asia	[2000, 2015, 2016]	2000	2016	3	2	2
III.6	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	586	Pakistan	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	SEX__AGE	_T__Y_GE15	Both sexes or no breakdown by sex, 15 years old and over	PAK	68.80479684	29.36491634	1.0	4	Country or Area	Central and Southern Asia	[2000, 2015, 2016]	2000	2016	3	2	2
III.6	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	8	Albania	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	SEX__AGE	_T__Y_GE15	Both sexes or no breakdown by sex, 15 years old and over	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2000, 2015, 2016]	2000	2016	3	2	2
III.6	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	20	Andorra	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	SEX__AGE	_T__Y_GE15	Both sexes or no breakdown by sex, 15 years old and over	AND	1.576257417	42.54548611	1.0	4	Country or Area	Europe and Northern America	[2000, 2015, 2016]	2000	2016	3	2	2
III.6	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	c68a22f4	Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex	36	Australia	_T	Both sexes or no breakdown by sex	Y_GE15	15 years old and over	SEX__AGE	_T__Y_GE15	Both sexes or no breakdown by sex, 15 years old and over	AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2000, 2015, 2016]	2000	2016	3	2	2
